거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240626,18,152,9000000000025935,121,9000000003241506,1049253.0,2,0,0
20241128,12,151,9000000000011033,156,9000000000059750,1419643.0,4,0,0
20240329,9,134,9000000000016054,155,9000000001300606,289959.0,7,4,0
20240426,6,145,9000000000032566,133,9000000001173089,1745094.0,4,0,0
20240626,0,129,9000000000001322,156,9000000002343565,4895661.0,6,0,0
20240503,12,152,9000000000029339,146,9000000002402084,1753411.0,2,0,0
20240920,0,121,9000000000013203,156,9000000002367810,5058126.0,4,0,0
20240322,6,134,9000000000036722,135,9000000001207105,7909139.0,2,0,0
20240904,15,133,9000000000008359,130,9000000000784329,4833989.0,4,0,0
20241114,15,133,9000000000008359,131,9000000000387592,705995.0,4,0,0
20240703,9,121,9000000000000742,157,9000000003241506,406784.0,4,0,0
20240417,12,157,9000000000037917,160,9000000003138690,29341113.0,2,0,0
20240802,15,157,9000000000036722,133,9000000002824517,8462915.0,2,0,0
20240723,0,129,9000000000001322,156,9000000000078494,145491.0,6,0,0
20240624,18,134,9000000000019485,133,9000000001303663,2115695.0,4,0,0
20240722,0,134,9000000000008539,159,9000000001259494,171661.0,4,0,0
20240913,15,157,9000000000036722,135,9000000001503214,8278214.0,2,0,0
20241001,15,152,9000000000016668,155,9000000000449474,4384521.0,2,0,1
20240229,9,134,9000000000016054,155,9000000003303088,223408.0,7,0,0
20241231,0,151,9000000000019047,145,9000000003072700,3627025.0,4,0,0
20240116,15,133,9000000000008359,146,9000000000387592,8153350.0,4,0,0
20240125,15,156,9000000000021811,131,9000000001076293,254369.0,2,0,0
20240906,6,151,9000000000026705,159,9000000002377203,2647758.0,4,0,0
20240501,15,157,9000000000020857,134,9000000000387592,30129319.0,2,0,0
20241028,15,151,9000000000013298,156,9000000000784316,1035059.0,4,0,0
20240723,18,151,9000000000023789,121,9000000001207106,544188.0,4,0,0
20240627,15,157,9000000000037917,160,9000000003241506,29415139.0,2,0,0
20240131,15,143,9000000000020857,134,9000000001503214,20060668.0,1,0,0
20240919,15,143,9000000000020857,134,9000000002343565,650591.0,1,0,0
20240805,9,134,9000000000016054,155,9000000001340095,99956.0,4,4,0
20241129,12,133,9000000000008359,159,9000000000868377,3469386.0,4,0,0
20240916,15,151,9000000000028670,133,9000000000784316,323236.0,4,0,0
20240525,15,151,9000000000032566,133,9000000000784331,717854.0,4,0,0
20240605,9,157,9000000000036931,159,9000000003172846,29946082.0,2,0,0
20240910,12,134,9000000000026343,120,9000000001387548,580156.0,4,0,0
20240503,12,157,9000000000029617,133,9000000003241506,8193198.0,2,0,0
20240723,9,157,9000000000037352,159,9000000003241993,2213530.0,2,1,0
20240530,15,143,9000000000020857,134,9000000001503214,2370477.0,1,0,0
20240522,18,133,9000000000008359,131,9000000002367810,4416363.0,4,0,0
20240611,21,134,9000000000015877,155,9000000001402791,455705.0,4,0,0
20240525,15,151,9000000000008359,131,9000000002369020,4500107.0,4,0,0
20240417,9,157,9000000000037352,159,9000000003241993,2542556.0,6,1,0
20240806,15,151,9000000000036395,155,9000000000784314,2377980.0,4,0,0
20241128,15,151,9000000000028618,134,9000000002363016,1056606.0,4,0,0
20241021,0,133,9000000000024624,160,9000000000060987,4841016.0,2,0,0
20241230,15,143,9000000000020857,134,9000000001503214,50148515.0,1,0,0
20240911,12,151,9000000000022437,130,9000000001207108,1668296.0,4,0,0
20241114,18,157,9000000000018778,131,9000000002316599,911353.0,2,0,0
20240723,9,157,9000000000037352,159,9000000003241993,2414408.0,6,1,0
20240903,12,151,9000000000018927,120,9000000000784335,31725693.0,4,0,1
20240605,21,157,9000000000036931,133,9000000003186425,4851457.0,2,0,0
20240627,15,157,9000000000037917,160,9000000002406472,20065489.0,2,0,0
20240417,21,129,9000000000025797,156,9000000000449474,66380.0,6,0,0
20240628,9,157,9000000000027150,146,9000000003172846,30032322.0,2,0,0
20241022,12,134,9000000000013298,122,9000000002323329,972665.0,4,0,0
20240603,15,134,9000000000023373,148,9000000001216794,483824.0,4,0,0
20240624,21,134,9000000000016668,130,9000000003086492,3953501.0,4,0,1
20240830,9,134,9000000000016054,155,9000000001300606,9715.0,7,4,0
20240729,12,133,9000000000008359,159,9000000000784344,1216060.0,4,0,0
20240215,0,157,9000000000013655,133,9000000003186425,4970042.0,2,0,0
20241015,12,152,9000000000021811,156,9000000001373671,668529.0,2,0,0
20240521,21,134,9000000000024468,133,9000000000049693,1637857.0,4,0,0
20240417,18,114,9000000000029143,159,9000000002383950,1955277.0,2,0,0
20240802,18,129,9000000000001322,156,9000000000078494,543227.0,6,0,0
20240624,15,134,9000000000016512,155,9000000001300606,56673.0,4,0,0
20240510,9,134,9000000000016054,155,9000000001300606,186478.0,4,0,0
20240503,9,152,9000000000029612,159,9000000002316599,58554.0,2,0,0
20240805,15,157,9000000000018993,133,9000000003142061,6508758.0,2,0,1
20240206,15,157,9000000000036931,133,9000000003303068,4650682.0,2,0,0
20240516,21,157,9000000000036722,135,9000000003291100,8547238.0,2,0,0
20240529,15,143,9000000000008359,134,9000000002377367,780995.0,1,0,0
20240119,15,151,9000000000036395,133,9000000000153770,479244.0,4,0,0
20240408,6,151,9000000000036931,159,9000000002327648,2814082.0,4,0,0
20240604,12,133,9000000000008359,159,9000000000868377,871541.0,4,0,0
20241219,15,143,9000000000020857,134,9000000001503214,761906.0,1,0,0
20240628,21,157,9000000000036861,133,9000000003303068,29810773.0,2,0,0
20240521,6,134,9000000000029143,152,9000000001401872,96173.0,4,0,0
20240610,3,157,9000000000036931,135,9000000002377203,4866971.0,2,0,0
20240926,6,151,9000000000028483,132,9000000002338667,1339238.0,4,0,0
20240704,15,143,9000000000020857,134,9000000000059750,238012.0,1,0,0
20240416,6,157,9000000000018623,145,9000000001315483,1935648.0,2,0,0
20241007,12,157,9000000000036861,133,9000000003176310,8658102.0,2,0,0
20240429,15,133,9000000000008359,131,9000000002427630,1077085.0,4,0,0
20240125,0,129,9000000000001322,156,9000000000078494,507262.0,6,0,0
20240229,0,134,9000000000001230,155,9000000001394400,89384.0,3,0,0
20240229,0,129,9000000000001322,156,9000000001313846,556795.0,6,0,0
20240131,12,121,9000000000000742,157,9000000002315627,702807.0,4,0,0
20240802,9,157,9000000000037917,160,9000000003186425,4880011.0,2,0,0
20240802,0,157,9000000000037917,160,9000000003241506,8392446.0,2,0,0
20240830,9,134,9000000000016054,155,9000000001300606,41441.0,7,4,0
20240624,15,134,9000000000016668,155,9000000000449474,11164027.0,4,0,1
20240626,6,121,9000000000024624,156,9000000001180099,452961.0,2,0,0
20240703,3,134,9000000000028483,159,9000000001315490,328143.0,4,0,0
20241007,9,157,9000000000036722,135,9000000003140530,8275757.0,2,0,0
20240919,12,152,9000000000023902,159,9000000000449474,2112851.0,2,0,0
20240826,0,134,9000000000029297,133,9000000000060487,240040.0,4,0,0
20240530,18,133,9000000000008359,144,9000000000024710,521758.0,4,0,0
20240428,9,121,9000000000000742,157,9000000002316599,433637.0,4,0,0
20240624,15,146,9000000000019485,133,9000000001207105,4422629.0,4,0,0
20240417,21,157,9000000000024468,159,9000000001408169,2170436.0,2,0,0
20240229,0,129,9000000000015680,156,9000000000078494,717277.0,6,0,0
20240723,21,129,9000000000019485,149,9000000001394400,214425.0,6,0,0
20240725,9,151,9000000000007531,149,9000000002300658,5149777.0,4,0,0
20240628,12,157,9000000000037917,160,9000000003241506,29894851.0,2,0,0
20240417,9,157,9000000000037352,159,9000000003241993,352632.0,6,1,0
20240627,15,143,9000000000020857,134,9000000001503214,19895960.0,1,0,0
20240528,12,157,9000000000037917,159,9000000001408230,8431399.0,2,0,0
20240503,15,152,9000000000012971,159,9000000001285193,3843744.0,4,0,1
20240624,15,157,9000000000019485,133,9000000003303064,10373374.0,4,0,1
20240229,0,134,9000000000015094,156,9000000000078494,416375.0,4,0,0
20241004,6,134,9000000000019485,133,9000000001207106,835430.0,4,0,0
20240221,12,133,9000000000008359,160,9000000002320033,853403.0,4,0,0
20240827,15,157,9000000000020857,134,9000000001503214,5013691.0,2,0,0
20241007,6,134,9000000000036722,145,9000000001315490,489079.0,2,0,0
20240131,9,157,9000000000029612,134,9000000003241993,525420.0,1,0,0
20241007,9,157,9000000000037352,159,9000000003241993,2830441.0,2,1,0
20240201,0,134,9000000000013203,156,9000000001281083,832119.0,4,0,0
20240910,9,133,9000000000016054,155,9000000001173089,1993801.0,7,4,0
20241212,9,114,9000000000011360,159,9000000003241993,132561.0,5,0,0
20240417,9,134,9000000000029143,144,9000000001400597,2651421.0,4,0,0
20240827,15,143,9000000000036395,134,9000000001503214,4692349.0,1,0,0
20240830,9,134,9000000000016054,155,9000000001300606,9136.0,7,4,0
20240901,9,145,9000000000037917,160,9000000003241506,8500192.0,4,0,0
20240711,9,151,9000000000018623,144,9000000003251518,6136688.0,4,0,0
20240329,21,129,9000000000001230,156,9000000003153974,435389.0,3,0,0
20240429,6,133,9000000000008359,144,9000000000868377,5071009.0,4,0,0
20241029,9,157,9000000000037352,159,9000000003140530,2630139.0,2,1,0
20240426,15,151,9000000000025935,151,9000000003153974,275957.0,4,0,0
20240117,0,157,9000000000036722,135,9000000003303064,4827567.0,2,0,0
20240215,9,151,9000000000028670,159,9000000003241993,510364.0,4,0,0
20240708,15,129,9000000000024624,156,9000000000387592,65197.0,2,0,0
20240723,9,114,9000000000000785,159,9000000003241993,372219.0,6,0,0
20240611,9,134,9000000000016054,155,9000000000442992,450221.0,4,4,0
20240125,15,134,9000000000037817,155,9000000003281753,110099.0,4,0,0
20240402,15,151,9000000000013203,156,9000000000387592,396372.0,4,0,0
20240806,15,151,9000000000011829,131,9000000002307064,53566685.0,4,0,1
20240117,15,143,9000000000020857,134,9000000001503214,2425638.0,1,0,0
20240302,0,151,9000000000023789,121,9000000003303064,4993602.0,4,0,0
20240516,18,157,9000000000036722,135,9000000003176310,4917881.0,2,0,0
20240624,21,134,9000000000036759,131,9000000002373669,4973275.0,4,0,1
20240131,15,143,9000000000020857,134,9000000000387592,361980.0,1,0,0
20240917,12,133,9000000000008359,144,9000000000153770,5183363.0,4,0,0
20241114,21,134,9000000000025771,157,9000000002363016,370360.0,4,0,0
20240710,15,129,9000000000001322,134,9000000000078494,1077805.0,4,0,0
20240730,9,121,9000000000000742,157,9000000002316599,408795.0,4,0,0
20241001,12,133,9000000000008359,144,9000000002390549,4607406.0,4,0,0
20241128,12,133,9000000000008359,159,9000000000784335,20047924.0,4,0,0
20241112,6,151,9000000000026705,159,9000000000639347,1808386.0,4,0,0
20240725,15,152,9000000000016668,156,9000000002318685,1596913.0,4,0,0
20240522,0,133,9000000000008359,130,9000000002989978,2713920.0,4,0,0
20241007,6,151,9000000000009100,133,9000000002363016,683095.0,4,0,0
20240229,0,134,9000000000013203,156,9000000002328217,756233.0,4,0,0
20241205,21,157,9000000000037917,133,9000000003241506,8506369.0,2,0,0
20240417,21,134,9000000000019485,133,9000000000049693,119445.0,4,0,0
20240624,9,134,9000000000019527,130,9000000002205930,1085359.0,4,0,0
20241222,18,129,9000000000013203,157,9000000000078494,2163735.0,2,0,0
20241007,9,157,9000000000036722,135,9000000003140530,8732523.0,2,1,0
20240227,21,134,9000000000013203,156,9000000002367810,211556.0,4,0,0
20241007,12,157,9000000000009100,147,9000000002338667,2773610.0,2,0,0
20240329,9,157,9000000000037352,159,9000000003293141,2470429.0,2,1,0
20240329,0,157,9000000000036722,135,9000000001400598,4860563.0,2,0,0
20240417,9,157,9000000000037352,159,9000000001373671,8407799.0,6,1,0
20240708,6,134,9000000000015928,133,9000000000060987,529156.0,4,0,0
20241015,15,129,9000000000001322,134,9000000000059750,750880.0,6,0,0
20241028,12,151,9000000000035756,131,9000000000058288,849827.0,4,0,0
20240827,15,133,9000000000008359,134,9000000001503214,20022803.0,2,0,0
20240828,15,157,9000000000016668,133,9000000003303064,8046680.0,2,0,0
20240522,15,143,9000000000020857,134,9000000000784316,482750.0,1,0,0
20240816,12,133,9000000000013203,156,9000000002335254,1198445.0,4,0,0
20240322,0,133,9000000000025935,144,9000000001313846,2306628.0,4,0,0
20240909,9,151,9000000000025935,156,9000000000784331,470418.0,4,0,0
20240521,6,156,9000000000036721,159,9000000002383950,1643082.0,2,0,0
20240206,18,133,9000000000008359,132,9000000000784325,10970183.0,4,0,0
20240605,15,133,9000000000036395,159,9000000000059750,2738813.0,4,0,0
20241118,0,151,9000000000016054,130,9000000001409544,255020.0,4,0,0
20241008,18,156,9000000000018993,144,9000000003303064,11914410.0,2,0,1
20240201,12,134,9000000000017769,148,9000000000784350,1032145.0,4,4,0
20240411,21,151,9000000000023714,135,9000000002377203,1719541.0,4,0,0
20240111,18,134,9000000000024676,145,9000000002371103,12550630.0,4,0,1
20240827,12,133,9000000000008359,132,9000000000153770,4533717.0,4,0,0
20240919,12,151,9000000000011033,134,9000000003303064,1133825.0,4,0,0
20240528,9,133,9000000000008359,144,9000000003303064,437162.0,4,0,0
20240503,0,151,9000000000037289,159,9000000002359574,1265907.0,4,0,0
20241013,9,133,9000000000037917,160,9000000002824517,9730003.0,4,0,0
20240617,9,156,9000000000029318,155,9000000000449474,4716835.0,2,0,1
20240228,18,143,9000000000020857,134,9000000001503214,812011.0,1,0,0
20240530,15,143,9000000000020857,134,9000000002307064,2905742.0,1,0,0
20240624,15,134,9000000000012790,157,9000000002373669,2278621.0,4,0,0
20240903,12,121,9000000000029617,151,9000000003281753,1313325.0,4,0,0
20240131,9,143,9000000000020857,134,9000000001503214,2293244.0,1,0,0
20240126,3,151,9000000000025277,160,9000000001207105,8604987.0,4,0,0
20240417,3,151,9000000000000726,159,9000000001424813,6513284.0,4,0,0
20241114,6,151,9000000000018927,130,9000000000522396,1636763.0,4,0,0
20240425,15,133,9000000000036395,144,9000000002335254,683956.0,4,0,0
20240416,18,157,9000000000018993,133,9000000003138690,8564676.0,2,0,1
20241021,21,157,9000000000036722,135,9000000003140530,8444827.0,2,0,0
20240912,9,134,9000000000016054,155,9000000001300606,121245.0,7,4,0
20240903,6,157,9000000000016462,130,9000000000784331,4142948.0,2,0,0
20240322,9,157,9000000000037352,159,9000000003241993,413667.0,6,1,0
20240329,9,156,9000000000029143,159,9000000000060987,652967.0,4,3,0
20240401,9,145,9000000000025277,160,9000000000358031,8861196.0,4,0,0
20240806,15,151,9000000000036395,133,9000000003186425,437457.0,4,0,0
20240909,15,134,9000000000026881,151,9000000001390506,1770129.0,4,0,0
20240215,6,134,9000000000027278,130,9000000001194841,106790.0,4,0,0
20240229,0,129,9000000000001322,156,9000000000078494,423144.0,6,0,0
20240326,15,143,9000000000020857,134,9000000000059750,741267.0,1,0,0
