거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240419,18,152,9000000000025935,121,9000000003232067,1019658.0,2,0,0
20241128,12,151,9000000000028618,156,9000000000059750,3690042.0,4,0,0
20240404,21,156,9000000000021811,123,9000000003293141,-12006.0,2,0,0
20240322,9,151,9000000000028629,155,9000000001229179,1838129.0,7,4,0
20240408,6,146,9000000000032566,133,9000000001180099,2099017.0,4,0,0
20241004,0,129,9000000000037917,160,9000000003293141,4978014.0,6,0,0
20240916,15,134,9000000000018409,131,9000000001194841,1369969.0,4,0,0
20240503,9,152,9000000000029339,159,9000000002402084,1779769.0,2,0,0
20240920,15,121,9000000000011033,156,9000000002335254,672155.0,4,0,0
20240322,0,157,9000000000036722,121,9000000001207106,7918259.0,2,0,0
20240905,15,133,9000000000029140,130,9000000000784329,4555128.0,4,0,0
20240201,21,134,9000000000000742,157,9000000000060987,-49164.0,4,0,0
20241114,15,133,9000000000036395,131,9000000002406472,738104.0,4,0,0
20240703,9,151,9000000000025277,157,9000000001408345,1981671.0,4,0,0
20240719,12,157,9000000000029287,159,9000000003303183,29273446.0,2,0,0
20240802,15,157,9000000000036861,133,9000000001158919,8468467.0,2,0,0
20241212,0,129,9000000000023902,156,9000000000078494,252310.0,6,0,0
20240624,18,134,9000000000018993,133,9000000002367810,4626881.0,4,0,0
20240722,0,134,9000000000021811,145,9000000001259494,182314.0,4,0,0
20240913,15,152,9000000000036722,146,9000000003140530,10567888.0,2,0,1
20241001,15,152,9000000000016668,155,9000000000449474,122409120.0,2,0,1
20240527,9,134,9000000000016054,148,9000000002319701,360693.0,4,0,0
20240429,0,151,9000000000019047,145,9000000000784331,3573574.0,4,0,0
20240116,15,133,9000000000007531,144,9000000002316599,7738050.0,4,0,0
20240125,15,152,9000000000015623,159,9000000001503214,179907.0,2,0,0
20240610,9,151,9000000000011033,134,9000000002323329,3228897.0,4,0,0
20240806,15,157,9000000000027881,134,9000000000387592,30869182.0,2,0,0
20241028,6,151,9000000000013298,156,9000000002427630,935514.0,4,0,0
20240723,18,151,9000000000019485,133,9000000001207106,2166686.0,4,0,0
20240916,15,157,9000000000038046,133,9000000003241506,29214633.0,2,0,0
20240131,15,143,9000000000025935,160,9000000001503214,20055625.0,1,0,0
20240919,12,143,9000000000037917,134,9000000002343565,567192.0,1,0,0
20240805,9,134,9000000000016054,155,9000000001340095,99956.0,4,0,0
20240117,12,151,9000000000011360,159,9000000000868377,3432471.0,4,0,0
20240911,9,134,9000000000016054,155,9000000001270124,388.0,7,4,0
20240606,21,151,9000000000013655,133,9000000000191607,1665819.0,4,0,0
20240525,15,151,9000000000032566,133,9000000000784331,564200.0,4,0,0
20240605,9,157,9000000000036931,135,9000000003303068,29889157.0,2,0,0
20240910,12,134,9000000000026343,120,9000000001387548,1876949.0,4,0,0
20240624,12,152,9000000000029617,160,9000000003241506,10615563.0,2,0,1
20240723,9,157,9000000000029671,159,9000000003241993,2215125.0,2,1,0
20240206,15,143,9000000000020857,134,9000000001503214,2384986.0,1,0,0
20241013,18,133,9000000000016668,159,9000000002367810,4111713.0,4,0,0
20240611,9,134,9000000000026097,155,9000000000639347,2260953.0,4,0,0
20240525,15,133,9000000000037817,160,9000000003303064,4318350.0,4,0,0
20240417,9,157,9000000000037352,159,9000000003241993,2407082.0,6,1,0
20240806,15,151,9000000000036395,155,9000000000784314,2155237.0,4,0,0
20241128,12,151,9000000000018927,134,9000000001424799,1160325.0,4,0,0
20240719,0,133,9000000000024624,160,9000000000060987,4823846.0,2,0,0
20241230,15,143,9000000000011829,134,9000000002307064,50266637.0,1,0,0
20240911,12,151,9000000000022437,130,9000000001207108,1668296.0,4,0,0
20241114,18,152,9000000000018778,131,9000000002316599,2545247.0,2,0,0
20240723,9,157,9000000000029671,159,9000000003172790,2374226.0,6,1,0
20240904,12,151,9000000000018993,131,9000000002328602,31831625.0,2,0,1
20240605,21,157,9000000000025935,160,9000000003186425,4903366.0,2,0,0
20240627,15,157,9000000000036861,160,9000000002406472,29910823.0,2,0,0
20240220,9,134,9000000000001230,155,9000000002371103,-183708.0,7,4,0
20241212,18,129,9000000000001322,156,9000000002205930,1663092.0,6,0,0
20240628,9,157,9000000000027150,146,9000000003291100,30145359.0,2,0,0
20241022,6,134,9000000000013298,122,9000000002323329,1043059.0,4,0,0
20240603,15,134,9000000000023373,148,9000000001300606,334721.0,4,0,0
20240624,21,134,9000000000016668,130,9000000003086492,3879170.0,4,0,1
20240830,9,134,9000000000016054,120,9000000001300606,1604199.0,7,4,0
20240729,12,151,9000000000036395,159,9000000000784344,1180403.0,4,0,0
20240711,0,157,9000000000013655,133,9000000003186425,5117845.0,2,0,0
20240131,12,152,9000000000025797,159,9000000001315490,2342482.0,2,0,0
20240624,9,134,9000000000029042,133,9000000000133839,133187.0,4,0,0
20240417,9,157,9000000000037352,159,9000000002383950,2143084.0,2,0,0
20240802,18,129,9000000000015680,156,9000000002343565,440088.0,6,0,0
20240428,21,145,9000000000021811,133,9000000000488218,13351.0,4,0,0
20240229,9,134,9000000000016512,123,9000000001300606,71418.0,4,0,0
20240510,9,134,9000000000016054,157,9000000002315793,1905336.0,4,0,0
20240416,15,152,9000000000000219,157,9000000002316599,136211.0,2,0,0
20240805,15,157,9000000000024468,133,9000000003142061,10964608.0,2,0,1
20240206,15,157,9000000000036931,133,9000000003303068,4756880.0,2,0,0
20240516,6,157,9000000000025277,135,9000000003291100,8304181.0,2,0,0
20240529,15,143,9000000000008359,134,9000000002377367,923737.0,4,0,0
20240119,15,151,9000000000036931,133,9000000003186425,406824.0,4,0,0
20240408,6,151,9000000000036931,159,9000000002353416,2824309.0,4,0,0
20240604,12,133,9000000000036395,159,9000000000868377,851366.0,4,0,0
20241219,15,143,9000000000011033,134,9000000001503214,5058153.0,1,0,0
20240628,21,157,9000000000036861,135,9000000003303068,29788382.0,2,0,0
20240521,9,134,9000000000029143,152,9000000001382851,1592398.0,4,0,0
20240610,3,157,9000000000036931,133,9000000000784331,4887198.0,2,0,0
20240926,6,151,9000000000025797,132,9000000000868377,3457106.0,4,0,0
20240704,15,143,9000000000029140,156,9000000000059750,2093754.0,1,0,0
20240416,6,157,9000000000027521,145,9000000001315483,1717485.0,2,0,0
20241007,12,157,9000000000037379,146,9000000003172846,8659609.0,2,0,0
20240226,15,133,9000000000013298,131,9000000002427630,3040696.0,4,0,0
20241206,0,129,9000000000015680,156,9000000001076293,471548.0,6,0,0
20241029,9,134,9000000000001230,155,9000000001394400,26964.0,7,4,0
20240229,12,129,9000000000037699,157,9000000001313846,588282.0,6,0,0
20240131,12,121,9000000000000742,157,9000000003303088,2426206.0,4,0,0
20240802,9,157,9000000000037917,133,9000000001158919,5068596.0,2,0,0
20240802,0,157,9000000000037917,135,9000000000784331,8417222.0,2,0,0
20240830,9,134,9000000000016054,155,9000000001315490,199512.0,7,4,0
20240624,15,134,9000000000016668,155,9000000000449474,4047360.0,4,0,1
20241004,6,121,9000000000024624,157,9000000001180099,247506.0,2,0,0
20240703,3,151,9000000000021811,159,9000000001315490,2301354.0,4,0,0
20241007,9,133,9000000000008359,135,9000000003140530,8402013.0,2,0,0
20240919,12,143,9000000000023902,159,9000000001076293,2110562.0,2,0,0
20240826,0,134,9000000000029297,133,9000000001401872,332767.0,4,0,0
20240530,18,133,9000000000022677,151,9000000000024710,520177.0,4,0,0
20240428,9,121,9000000000000742,157,9000000002316599,475580.0,4,0,0
20240624,9,134,9000000000019485,133,9000000001207105,1891253.0,4,0,0
20240417,9,157,9000000000037352,159,9000000001408169,2298244.0,2,1,0
20240229,0,129,9000000000015680,156,9000000001216794,2903517.0,6,0,0
20240723,21,129,9000000000036688,149,9000000001394400,478210.0,4,0,0
20240725,15,152,9000000000021811,156,9000000002402084,-20873.0,2,0,0
20240725,9,151,9000000000023214,149,9000000001400597,5694748.0,4,0,1
20240628,12,157,9000000000036931,133,9000000002343565,29806827.0,2,0,0
20240112,9,151,9000000000029143,159,9000000000442992,482699.0,4,0,0
20240827,15,152,9000000000011033,134,9000000000141309,450428.0,1,0,0
20240528,12,157,9000000000037917,160,9000000001408230,8348345.0,2,0,0
20240503,15,134,9000000000012971,159,9000000001408276,4444082.0,4,0,1
20240624,9,134,9000000000027868,155,9000000003251521,-30525.0,7,4,0
20240624,15,157,9000000000018809,133,9000000001180099,10233758.0,4,0,1
20240229,0,134,9000000000015094,156,9000000000078494,543045.0,4,0,0
20241004,6,134,9000000000019485,133,9000000001207106,874641.0,4,0,0
20240221,12,151,9000000000008359,144,9000000002320033,2931730.0,4,0,0
20240827,15,157,9000000000017194,134,9000000001400597,5023210.0,2,0,0
20241007,6,134,9000000000036722,145,9000000003281753,433589.0,2,0,0
20240131,0,129,9000000000015121,134,9000000002323329,425001.0,1,0,0
20241007,9,157,9000000000009313,159,9000000003241993,2845124.0,6,1,0
20240201,0,134,9000000000000742,157,9000000002359748,2726489.0,4,0,0
20240716,9,133,9000000000037699,147,9000000001173089,2282521.0,4,0,0
20241212,9,129,9000000000001230,159,9000000001216794,1791139.0,6,0,0
20240721,9,134,9000000000027521,144,9000000001400597,2498069.0,4,0,0
20240822,15,143,9000000000036395,134,9000000001503214,19701194.0,1,0,0
20240830,9,134,9000000000016054,155,9000000003303088,-53170.0,7,4,0
20240901,9,145,9000000000029560,160,9000000002334033,8500192.0,4,0,0
20240711,9,151,9000000000037817,130,9000000003251518,5106408.0,4,0,0
20240329,21,114,9000000000023902,131,9000000003153974,283203.0,3,0,0
20240429,6,134,9000000000035756,144,9000000003140530,5127409.0,4,0,0
20241029,9,157,9000000000036722,159,9000000002316599,2692994.0,2,1,0
20240525,15,151,9000000000011829,151,9000000001270124,1831776.0,4,0,0
20241013,0,157,9000000000023789,135,9000000003303064,4946559.0,2,0,0
20240215,9,151,9000000000024624,147,9000000001315490,2762255.0,4,0,0
20240708,15,129,9000000000011829,134,9000000000387592,90956.0,2,0,0
