거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240610,18,143,9000000000008359,131,9000000003186425,1061005.0,4,0,0
20240125,18,151,9000000000018778,133,9000000000191607,916396.0,2,0,0
20240112,12,133,9000000000037917,159,9000000001503214,990628.0,2,0,0
20240403,9,134,9000000000029650,155,9000000003105311,1004757.0,1,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1000812.0,2,4,0
20240917,15,157,9000000000020857,156,9000000000784314,170723.0,4,0,0
20240428,6,143,9000000000000742,157,9000000001503214,-554314.0,4,0,0
20240610,18,143,9000000000008359,131,9000000003186425,971167.0,2,0,0
20241021,12,151,9000000000000726,160,9000000002989978,1017005.0,2,0,0
20240816,6,151,9000000000013203,159,9000000001300606,1015472.0,4,4,0
20240912,18,134,9000000000025935,133,9000000001198973,632096.0,4,0,0
20240628,12,157,9000000000029287,134,9000000001408227,669490.0,4,0,0
20240529,15,151,9000000000018993,134,9000000001401872,728782.0,4,0,0
20240917,18,134,9000000000020857,133,9000000002331826,278065.0,4,0,0
20240805,15,133,9000000000020857,134,9000000001408178,-327544.0,4,0,0
20240521,9,134,9000000000013130,133,9000000000784335,461943.0,4,0,0
20240830,15,133,9000000000012423,156,9000000002989978,990804.0,4,0,0
20240805,15,151,9000000000036931,156,9000000001408276,620360.0,2,0,0
20240125,12,151,9000000000018778,134,9000000000191607,878689.0,4,4,0
20241111,15,157,9000000000027180,156,9000000003172846,455046.0,4,0,0
20240829,15,134,9000000000000742,133,9000000001300606,-270149.0,2,0,0
20240112,9,133,9000000000037917,134,9000000001503214,964876.0,2,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1006437.0,4,4,0
20241114,6,157,9000000000008359,133,9000000001300606,1039150.0,4,0,0
20240428,6,143,9000000000000742,157,9000000001503214,-566966.0,4,0,0
20240525,15,157,9000000000036759,134,9000000002375495,903499.0,4,0,0
20240329,18,134,9000000000000656,130,9000000003303068,988135.0,4,0,0
20240428,18,143,9000000000000742,157,9000000001503214,-109902.0,2,0,0
20240201,15,151,9000000000023214,134,9000000002343565,1027005.0,2,0,1
20240819,15,134,9000000000026682,133,9000000001401872,994004.0,2,0,0
20240627,12,157,9000000000017439,133,9000000000784319,751032.0,4,0,0
20241025,18,157,9000000000038046,133,9000000001408230,463172.0,4,0,0
20240816,6,134,9000000000013203,159,9000000001300606,986272.0,2,0,0
20240118,21,157,9000000000026682,133,9000000000694534,509112.0,2,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1018991.0,4,0,0
20240403,9,134,9000000000029650,155,9000000003105311,990398.0,1,0,0
20240705,12,134,9000000000008359,157,9000000001503214,1050300.0,4,0,0
20240917,15,134,9000000000018389,156,9000000001270124,581238.0,4,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1005547.0,4,4,0
20241028,18,157,9000000000020857,133,9000000003303183,159726.0,4,0,0
20240520,9,151,9000000000008359,131,9000000002824517,957126.0,4,0,0
20241021,0,157,9000000000012487,160,9000000002297375,980460.0,4,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1032326.0,4,0,0
20240428,18,143,9000000000000742,157,9000000001503214,-368876.0,4,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1027680.0,4,4,0
20240816,6,151,9000000000013203,159,9000000001300606,1014571.0,4,4,0
20240904,18,157,9000000000000742,133,9000000002300658,-204928.0,2,0,0
20240816,18,134,9000000000013203,133,9000000001300606,1007410.0,2,0,0
20241007,18,134,9000000000008359,133,9000000003086492,1064245.0,4,0,0
20240426,18,151,9000000000016193,156,9000000000317565,967584.0,2,0,0
20240428,18,143,9000000000000742,157,9000000001503214,-427830.0,4,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1020723.0,4,4,0
20240428,18,143,9000000000000742,157,9000000001503214,-438738.0,4,0,0
20240705,6,134,9000000000027925,131,9000000001300606,947345.0,2,0,0
20240827,9,157,9000000000038046,133,9000000001193235,961372.0,4,0,0
20240112,9,133,9000000000037917,134,9000000001503214,995438.0,2,0,0
20240329,18,134,9000000000000656,130,9000000003303068,962878.0,4,0,0
20240507,18,157,9000000000000742,156,9000000001300606,856628.0,2,0,0
20240705,6,134,9000000000027925,131,9000000001300606,959685.0,4,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1014550.0,4,0,0
20240311,18,134,9000000000020857,133,9000000003303068,480278.0,4,0,0
20240118,15,157,9000000000018501,156,9000000003176310,350696.0,2,0,0
20240705,12,134,9000000000008359,157,9000000001503214,983984.0,4,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1074190.0,4,0,0
20240428,18,143,9000000000000742,157,9000000001503214,-345725.0,4,0,0
20240521,0,134,9000000000016054,155,9000000001408276,752907.0,2,0,0
20240917,15,151,9000000000020857,134,9000000001408178,-133636.0,2,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1045238.0,4,0,0
20240711,12,157,9000000000019158,159,9000000002322879,559634.0,4,0,0
20240723,15,151,9000000000035892,134,9000000002363478,1006571.0,4,0,0
20240302,15,151,9000000000037699,160,9000000001408227,809077.0,2,0,0
20240610,18,143,9000000000008359,131,9000000003186425,985695.0,2,0,0
20240112,9,133,9000000000037917,134,9000000001503214,984248.0,2,0,0
20240705,12,134,9000000000008359,157,9000000001503214,1004952.0,4,0,0
20240610,18,157,9000000000036759,133,9000000001401872,1001491.0,2,0,0
20240816,6,151,9000000000013203,134,9000000001300606,979448.0,4,0,0
20240428,18,143,9000000000000742,157,9000000001503214,130749.0,2,0,0
20240805,6,157,9000000000017439,133,9000000001424813,1005173.0,2,0,0
20240730,18,151,9000000000037917,133,9000000003251518,976239.0,2,0,0
20240816,6,134,9000000000013203,159,9000000001300606,996016.0,4,4,0
20240610,18,143,9000000000008359,131,9000000003186425,1048605.0,2,0,0
20240816,6,134,9000000000013203,159,9000000001300606,988088.0,4,0,0
20240329,12,151,9000000000000219,134,9000000000784346,494673.0,4,0,0
20241021,12,151,9000000000000726,160,9000000002989978,995017.0,4,0,0
20240618,12,157,9000000000023789,156,9000000003251518,69667171.0,4,0,0
20240426,18,157,9000000000016193,156,9000000000317565,943708.0,2,0,0
20240404,15,151,9000000000023465,159,9000000002377367,828360.0,5,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1049810.0,4,4,0
