거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240705,6,134,9000000000027925,131,9000000001300606,993075.0,4,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1043335.0,2,0,0
20240712,12,157,9000000000037379,159,9000000002327648,582758.0,2,0,0
20240705,12,134,9000000000008359,157,9000000001503214,1026634.0,4,0,0
20241126,12,157,9000000000020857,134,9000000001401872,133989.0,2,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1010068.0,4,4,0
20241021,12,151,9000000000000726,160,9000000002989978,999967.0,4,0,0
20240705,12,134,9000000000008359,157,9000000001503214,1001154.0,4,0,0
20240917,15,151,9000000000000684,133,9000000001170413,377184.0,4,0,0
20240428,6,143,9000000000000742,157,9000000001503214,-221287.0,2,0,0
20240112,18,133,9000000000037917,134,9000000001503214,1018062.0,2,0,0
20240428,18,143,9000000000000742,157,9000000001503214,-395103.0,4,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1026868.0,4,0,0
20240429,18,134,9000000000037917,133,9000000002426343,658916.0,4,0,0
20240428,6,143,9000000000000742,157,9000000001503214,-311426.0,4,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1063167.0,4,0,0
20240610,18,143,9000000000008359,131,9000000003186425,983478.0,2,0,0
20241030,15,151,9000000000029475,159,9000000000784331,417573.0,2,0,0
20241021,12,157,9000000000000726,160,9000000002989978,971515.0,2,0,0
20240705,12,134,9000000000008359,157,9000000001503214,1048117.0,4,0,0
20240112,9,133,9000000000037917,134,9000000001503214,995328.0,2,0,0
20240125,15,151,9000000000018778,159,9000000000191607,924870.0,4,4,0
20240628,21,157,9000000000037582,156,9000000001401872,1017271.0,4,0,0
20240717,15,151,9000000000018389,134,9000000001300606,-224926.0,4,0,0
20240520,9,151,9000000000008359,131,9000000002824517,992294.0,4,0,0
20240404,9,129,9000000000016054,134,9000000002297375,33361399.0,2,0,1
20241021,12,151,9000000000000726,160,9000000002989978,1031209.0,2,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1006136.0,2,0,0
20240816,6,151,9000000000013203,159,9000000001300606,982202.0,2,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1008734.0,2,0,0
20240628,21,157,9000000000037582,156,9000000001401872,1030737.0,4,0,0
20240426,18,134,9000000000016193,156,9000000000317565,966840.0,4,0,0
20240805,15,152,9000000000023338,159,9000000003176310,750678.0,2,0,0
20240610,18,143,9000000000008359,131,9000000003186425,1042078.0,4,0,0
20240428,18,143,9000000000000742,157,9000000001503214,-390020.0,4,0,0
20240628,21,157,9000000000037582,156,9000000001401872,1017707.0,2,0,0
20240723,12,151,9000000000028813,134,9000000000784319,327411.0,4,0,0
20240816,6,134,9000000000013203,159,9000000001300606,1019123.0,4,4,0
