거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240110,21,134,9000000000018809,130,9000000001424813,1418731.8456534347,4,0,0
20240412,21,134,9000000000036931,131,9000000001340087,4818969.306879449,4,0,1
20240127,15,151,9000000000036722,146,9000000002404517,3177706.103725053,2,0,0
20240314,18,134,9000000000036931,131,9000000001382851,957512.8526631908,4,0,0
20240214,0,157,9000000000036688,130,9000000000387592,3790094.229851667,2,0,0
20240205,21,134,9000000000016979,146,9000000001216088,702471.206723877,4,0,0
20240610,15,133,9000000000018778,160,9000000001305378,10596511.857191265,4,0,1
20241205,9,121,9000000000029287,159,9000000002414162,3998553.965297193,4,0,0
20240830,0,134,9000000000016054,155,9000000001300606,428360.8603186899,7,4,0
20240426,15,133,9000000000018993,155,9000000003303064,10193533.763630144,2,0,1
20240508,18,151,9000000000015094,155,9000000001424813,1037239.6761280263,4,0,0
20240408,9,152,9000000000029287,156,9000000000191607,6046817.569799427,2,0,1
20240620,15,143,9000000000020857,134,9000000001503214,944103.1127483225,1,0,0
20240827,18,134,9000000000009100,130,9000000000535612,1298896.9610782678,4,0,0
20240403,15,134,9000000000036688,146,9000000003172846,8579854.145881688,2,0,0
20241105,18,151,9000000000027488,130,9000000003251521,3347345.0582384695,4,0,0
20240314,21,134,9000000000036931,133,9000000001394400,1018284.8464546534,4,0,0
20240329,9,151,9000000000029287,159,9000000002382399,3730482.181817528,2,0,0
20240311,15,157,9000000000036722,130,9000000000387592,3483681.7981101014,2,0,0
20240417,9,157,9000000000037352,159,9000000003241993,1849003.8614298156,6,1,0
20240403,9,134,9000000000009313,159,9000000001173089,9723715.430943701,2,0,0
20241105,15,134,9000000000017064,157,9000000001397306,715966.6377763904,4,0,0
20241118,15,143,9000000000020857,134,9000000001503214,513243.21931206674,1,0,0
20241209,15,133,9000000000036722,132,9000000000784344,3123447.573317789,2,0,0
20240506,12,157,9000000000036722,160,9000000000387592,9433717.445877334,2,0,0
20240913,21,121,9000000000000742,157,9000000000059750,599282.1414427904,4,0,0
20241105,15,151,9000000000026881,156,9000000000059291,505569.4377317341,4,0,1
20240802,9,134,9000000000037352,157,9000000003172846,3288374.834375254,4,0,0
20240229,6,146,9000000000021811,133,9000000002205930,-367802.9123201929,5,0,0
20240827,15,143,9000000000020857,134,9000000001503214,95336735.08975592,1,0,0
20240125,15,143,9000000000020857,134,9000000001503214,640451.5066576959,1,0,0
20240502,15,133,9000000000025797,160,9000000001415693,9538714.023507066,2,0,1
20240621,9,157,9000000000037352,159,9000000002383950,903267.8499634912,2,3,0
20240521,0,151,9000000000036722,133,9000000001321168,3638537.654616675,2,0,0
20240403,18,152,9000000000036395,133,9000000003251518,3660434.803006263,2,0,0
20240110,15,121,9000000000000742,157,9000000000059750,721143.9344534255,4,0,0
20240814,18,151,9000000000008359,144,9000000001270124,1027055.3545209769,4,0,0
20240429,18,152,9000000000036931,146,9000000002423221,5831006.989567574,2,0,0
20240827,15,143,9000000000020857,134,9000000001503214,91158987.88816336,1,0,0
20240226,15,143,9000000000020857,134,9000000001503214,567805.9875298663,1,0,0
20240627,21,157,9000000000036722,135,9000000003172846,30391631.21070346,2,0,0
20240703,0,157,9000000000037917,160,9000000003303064,10103014.7585288,2,0,0
20240627,21,157,9000000000036722,135,9000000003172846,4078078.499288212,2,0,0
20240506,15,133,9000000000024711,159,9000000002363016,10140591.824769694,2,0,1
20241004,15,143,9000000000020857,134,9000000001503214,3294054.7291444633,1,0,0
20240417,9,157,9000000000037352,159,9000000003241993,2656651.744248387,6,1,0
20240605,18,133,9000000000026881,159,9000000003172846,1216135.2304303574,2,0,0
20240626,21,151,9000000000037727,159,9000000001321168,1279372.0972438278,4,0,0
20240404,21,134,9000000000018993,155,9000000001424813,430145.97204573813,4,0,0
20240827,21,134,9000000000036931,133,9000000002359574,10083247.416706532,4,0,1
20240624,15,133,9000000000023789,144,9000000000387592,1733983.2804474486,4,0,0
20241105,0,134,9000000000015680,144,9000000002363016,1010251.0073163328,4,0,0
20241018,21,121,9000000000000742,157,9000000000059750,432321.1498868743,4,0,0
20240328,15,143,9000000000020857,134,9000000001503214,1014081.6635313825,1,0,0
20240827,12,134,9000000000036931,156,9000000001400597,9496792.441752682,4,0,0
20241105,12,133,9000000000028618,156,9000000003153974,795641.8355582675,4,0,0
20240618,15,157,9000000000028121,135,9000000003172846,4986045.10947144,2,0,0
20240814,18,151,9000000000029140,159,9000000002382399,4224244.4465953335,4,0,0
20241002,15,143,9000000000020857,134,9000000001503214,705691.7387073071,1,0,0
20240429,15,151,9000000000029287,146,9000000003291100,5001599.161670271,4,0,0
20241013,21,121,9000000000000742,157,9000000000059750,581368.0155745803,4,0,0
20241018,21,121,9000000000000742,157,9000000000059750,635030.768302241,4,0,0
20240408,18,151,9000000000036931,159,9000000001394400,5760024.112974722,4,0,1
20240524,21,157,9000000000037917,146,9000000000387592,5937815.966388654,2,0,0
20240829,15,157,9000000000036722,159,9000000003303064,4247563.504135994,2,0,0
20240527,3,157,9000000000029379,133,9000000002824517,9843605.154040435,2,0,0
20240329,9,151,9000000000025771,159,9000000002328602,5230283.872262543,4,0,0
20240229,6,146,9000000000021811,133,9000000002205930,163184.04752988415,5,0,0
20240524,15,151,9000000000026705,157,9000000002367810,809529.3247349535,4,0,0
20241018,15,121,9000000000000742,157,9000000000059750,383076.8629284544,4,0,0
20240626,15,151,9000000000018993,146,9000000002335254,1255498.9599676218,4,0,0
20241108,18,129,9000000000001322,156,9000000000078494,449427.4427873701,6,0,0
20240229,6,146,9000000000021811,133,9000000002205930,-55872.51231805771,5,0,0
20240205,21,157,9000000000036931,133,9000000001408168,9225274.829664748,2,0,0
20240429,15,157,9000000000018623,159,9000000002320836,9428739.038732952,4,0,0
20240424,15,151,9000000000028618,156,9000000001371936,5321121.6058861995,4,0,1
20240425,21,121,9000000000000742,157,9000000000059750,490416.34368797566,4,0,0
