거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240111,21,134,9000000000019485,130,9000000001424813,1418731.8456534347,4,0,0
20240508,18,151,9000000000036931,131,9000000001400597,4818969.306879449,4,0,1
20240827,15,151,9000000000036722,146,9000000003232067,3177706.103725053,2,0,0
20240412,18,134,9000000000036931,156,9000000002353416,9656678.943161175,4,0,0
20241108,21,157,9000000000036722,133,9000000000387592,9093416.055508228,2,0,0
20240422,21,134,9000000000009313,155,9000000001198973,702471.206723877,4,0,0
20240426,18,157,9000000000029287,132,9000000001232066,10596511.857191265,2,0,1
20240820,9,133,9000000000000656,159,9000000000693400,9202636.583807567,2,0,0
20240723,9,134,9000000000016054,155,9000000001300606,428360.8603186899,7,4,0
20240725,15,134,9000000000036759,155,9000000002210736,10193533.763630144,4,0,1
20241029,18,133,9000000000008359,155,9000000001424813,5155226.4639217,4,0,0
20240827,12,133,9000000000037917,146,9000000002414162,6046817.569799427,2,0,1
20241129,3,143,9000000000020857,134,9000000001503214,99030897.86768289,1,0,0
20240412,15,134,9000000000029042,131,9000000001271158,1298896.9610782678,4,0,0
20240215,15,133,9000000000025277,159,9000000003172846,392643.89739654184,2,0,0
20241105,18,151,9000000000029130,130,9000000001271918,3347345.0582384695,4,0,0
20240521,21,134,9000000000036931,133,9000000000074946,9772530.220319556,4,0,1
20240404,9,151,9000000000029287,159,9000000003072700,92516421.036241,2,0,0
20240916,21,157,9000000000036722,160,9000000000387592,8932874.128306922,2,0,0
20240417,9,157,9000000000037352,159,9000000003241993,1849003.8614298156,6,1,0
20240829,9,157,9000000000029287,155,9000000002359748,4993091.899801166,2,0,0
20241105,12,134,9000000000015680,157,9000000001321168,715966.6377763904,4,0,0
20240705,15,143,9000000000020857,134,9000000001503214,513243.21931206674,1,0,0
20241231,15,151,9000000000036722,146,9000000001180099,3123447.573317789,2,0,0
20240215,21,157,9000000000036722,133,9000000003303088,9433717.445877334,2,0,0
20241018,21,121,9000000000000742,157,9000000000059750,599282.1414427904,4,0,0
20241105,12,151,9000000000015680,131,9000000002362469,3220776.055158293,4,0,1
20240422,21,134,9000000000027150,155,9000000002382399,19968306.80097149,4,0,0
20240229,6,146,9000000000021811,133,9000000002205930,-367802.9123201929,5,0,0
20240327,15,143,9000000000020857,134,9000000001503214,4200589.2119013285,1,0,0
20240110,15,143,9000000000020857,134,9000000001503214,640451.5066576959,1,0,0
20240425,12,134,9000000000037699,130,9000000003303088,9538714.023507066,2,0,1
20240110,9,157,9000000000037488,146,9000000002414162,4667777.975797764,2,0,0
20240508,15,151,9000000000036722,146,9000000001321168,3638537.654616675,4,0,0
20240409,15,134,9000000000015496,155,9000000002327648,3660434.803006263,2,0,0
20241018,15,121,9000000000000742,157,9000000000059750,721143.9344534255,4,0,0
20240814,18,134,9000000000008359,144,9000000001405868,1027055.3545209769,4,0,0
20240620,18,152,9000000000036931,146,9000000001076293,21410480.23726977,2,0,0
20240926,15,143,9000000000020857,134,9000000001503214,583471.2103614057,1,0,0
20240110,15,143,9000000000020857,134,9000000001503214,567805.9875298663,1,0,0
20240627,21,157,9000000000036722,135,9000000003172846,30391631.21070346,2,0,0
20240905,21,157,9000000000037917,160,9000000003303064,10103014.7585288,2,0,0
20240627,21,157,9000000000036722,135,9000000003172846,30492422.051737547,2,0,0
20240330,9,152,9000000000029287,146,9000000002353416,10140591.824769694,4,0,1
20241129,15,143,9000000000020857,134,9000000001503214,525709.5715346454,1,0,0
20240417,9,157,9000000000037352,159,9000000003241993,2656651.744248387,6,1,0
20241212,12,133,9000000000029287,146,9000000003172846,21396368.5247671,2,0,0
20240626,21,134,9000000000016488,133,9000000001340095,1279372.0972438278,4,0,0
20240827,15,133,9000000000022812,155,9000000001424813,430145.97204573813,4,0,0
20240327,18,134,9000000000036931,133,9000000001313846,10083247.416706532,4,0,1
20240912,15,151,9000000000008359,144,9000000000387592,1733983.2804474486,4,0,0
20241105,18,134,9000000000028629,156,9000000000535612,1010251.0073163328,4,0,0
20240110,21,121,9000000000000742,157,9000000000059750,432321.1498868743,4,0,0
20240509,15,143,9000000000020857,134,9000000001503214,1014081.6635313825,1,0,0
20240401,12,151,9000000000036931,144,9000000002377367,9496792.441752682,4,0,0
20241105,12,133,9000000000026881,156,9000000000535612,795641.8355582675,4,0,0
20240507,21,157,9000000000028121,135,9000000003172846,4986045.10947144,2,0,0
20240814,18,151,9000000000023714,159,9000000001405868,4224244.4465953335,4,0,0
20241004,15,143,9000000000020857,134,9000000001503214,705691.7387073071,1,0,0
20240908,18,151,9000000000027521,146,9000000003303088,5001599.161670271,4,0,0
20241013,21,121,9000000000000742,157,9000000000059750,581368.0155745803,4,0,0
20240704,21,121,9000000000000742,157,9000000000059750,635030.768302241,4,0,0
20240524,18,151,9000000000036931,133,9000000002320836,5760024.112974722,2,0,0
20240618,21,157,9000000000037917,160,9000000000387592,5937815.966388654,2,0,0
20241231,15,157,9000000000036722,145,9000000001076293,4247563.504135994,2,0,0
20240605,3,157,9000000000028629,133,9000000003176310,5221915.000627837,2,0,0
