거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240529,18,157,9000000000037917,160,9000000000387592,5000000.0,2,0,0
20240403,21,157,9000000000036931,133,9000000002824517,7000000.0,2,0,0
20240327,6,134,9000000000013203,156,9000000001207106,2000000.0,4,0,0
20240327,15,157,9000000000036931,133,9000000002824517,6000000.0,2,0,0
20241010,21,151,9000000000024468,146,9000000002323329,200000.0,4,0,0
20241028,9,133,9000000000008359,131,9000000000784314,600000.0,4,0,0
20241028,15,143,9000000000020857,134,9000000001503214,30000000.0,1,0,0
20240202,9,134,9000000000018834,130,9000000001402791,1000000.0,4,0,0
20240603,0,157,9000000000036395,159,9000000003138690,5000000.0,2,0,0
20240606,15,157,9000000000037917,131,9000000003303088,7000000.0,2,0,0
20240604,9,157,9000000000037917,160,9000000003303064,9000000.0,2,0,0
20240903,9,151,9000000000023214,131,9000000002308417,7000000.0,4,0,0
20240508,6,151,9000000000024624,159,9000000002327648,2000000.0,4,0,0
20240403,15,157,9000000000036931,133,9000000002824517,8000000.0,2,0,0
20240820,21,157,9000000000036861,133,9000000003186425,5000000.0,2,0,0
20240724,21,151,9000000000022677,133,9000000002300658,1000000.0,4,0,0
20240405,9,151,9000000000028629,157,9000000002377367,300000.0,4,0,0
20240416,15,143,9000000000020857,134,9000000001503214,1000.0,1,0,0
20240924,12,133,9000000000008359,159,9000000000784318,5000000.0,4,0,0
20240524,21,134,9000000000018927,144,9000000001405868,1000000.0,4,0,0
20240226,0,151,9000000000027488,144,9000000002362689,2000000.0,4,0,0
20241021,21,151,9000000000027976,133,9000000002369017,7000000.0,4,0,0
20240807,15,157,9000000000037917,160,9000000000387592,5000000.0,2,0,0
20240213,9,151,9000000000028629,157,9000000002377367,200000.0,4,0,0
20240503,21,151,9000000000027521,157,9000000002363016,2000000.0,4,0,0
20241001,15,157,9000000000036431,133,9000000003142061,1000000.0,2,0,0
20240403,0,151,9000000000026705,133,9000000000133839,1000000.0,4,0,0
20240805,9,151,9000000000026881,146,9000000000360458,1000000.0,4,0,0
20240826,9,133,9000000000008359,144,9000000000784316,5000000.0,4,0,0
20240704,9,134,9000000000012184,159,9000000001170412,5000000.0,4,0,0
20240517,18,157,9000000000036759,133,9000000003176310,8000000.0,2,0,0
20241021,21,151,9000000000027976,133,9000000002369017,8000000.0,4,0,0
20240827,12,133,9000000000008359,144,9000000000784316,9000000.0,4,0,0
20241203,15,143,9000000000020857,134,9000000001503214,5000000.0,1,0,0
20240524,6,134,9000000000015099,156,9000000001269422,4000000.0,4,0,0
20240913,9,157,9000000000037488,155,9000000003251518,6000000.0,2,0,0
20240715,15,133,9000000000008359,151,9000000000784339,2000000.0,4,0,0
20241203,15,143,9000000000020857,134,9000000001503214,5000000.0,1,0,0
20240618,0,157,9000000000037917,131,9000000003303088,9000000.0,2,0,0
20240609,12,151,9000000000027868,160,9000000002210736,2000000.0,4,0,0
20240423,21,134,9000000000015794,133,9000000001290818,70000.0,4,0,0
20240611,9,143,9000000000020857,134,9000000001503214,100000.0,1,0,0
20240428,12,134,9000000000018993,159,9000000001408230,2000000.0,2,0,0
20241211,15,133,9000000000008359,130,9000000000784329,8000000.0,4,0,0
20240606,0,129,9000000000001322,156,9000000000078494,10000.0,6,0,0
20240503,21,151,9000000000027521,157,9000000002363016,2000000.0,4,0,0
20240809,12,133,9000000000008359,159,9000000000784318,600000.0,4,0,0
20241118,18,152,9000000000029287,159,9000000002402084,3000000.0,2,0,0
20240919,9,157,9000000000038046,146,9000000003291100,2000000.0,2,0,0
20240828,21,121,9000000000000742,157,9000000000059750,200000.0,4,0,0
20240920,12,133,9000000000008359,159,9000000000784335,50000000.0,4,0,0
20241108,15,133,9000000000011033,134,9000000001076293,4000000.0,2,0,0
20240405,0,134,9000000000013203,156,9000000001207106,2000000.0,4,0,0
20241014,15,121,9000000000000742,157,9000000000059750,700000.0,4,0,0
20240411,9,121,9000000000000785,113,9000000000060987,500000000.0,2,0,0
20240402,18,134,9000000000018993,132,9000000001408307,100000.0,2,0,0
20241224,18,152,9000000000029650,146,9000000002429847,3000000.0,2,0,0
20240920,21,157,9000000000036415,135,9000000003140530,900000.0,2,0,0
20240605,9,157,9000000000037917,160,9000000000387592,2000000.0,2,0,0
20240221,18,134,9000000000012423,132,9000000001179526,10000.0,4,0,0
20241004,21,157,9000000000036431,133,9000000003142061,2000000.0,2,0,0
20240612,15,143,9000000000020857,134,9000000001503214,30000000.0,1,0,0
20240528,18,133,9000000000011394,131,9000000001112549,500000.0,4,0,0
20240325,15,157,9000000000037746,159,9000000003286542,5000000.0,2,0,1
20240507,18,134,9000000000017245,157,9000000001340087,2000000.0,2,0,0
20240525,6,151,9000000000023789,121,9000000002316599,1000.0,4,0,0
20240426,12,134,9000000000012184,131,9000000001170413,10000000.0,4,0,0
20240304,18,151,9000000000025935,160,9000000002343565,8000000.0,2,0,0
20240227,9,134,9000000000012299,149,9000000001174062,400000.0,4,0,0
20240722,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240708,18,157,9000000000037917,160,9000000000387592,9000000.0,2,0,0
20240517,18,157,9000000000036759,133,9000000003176310,8000000.0,2,0,0
20240530,6,157,9000000000036759,133,9000000003176310,9000000.0,2,0,0
20240402,12,134,9000000000013203,156,9000000001207106,2000000.0,4,0,0
20240202,15,151,9000000000026881,146,9000000000360458,5000000.0,4,0,0
20241015,15,134,9000000000019485,133,9000000001424813,400000.0,4,0,0
20240830,21,157,9000000000037582,133,9000000003142061,3000000.0,2,0,0
20241016,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240715,9,157,9000000000037917,160,9000000003303064,5000000.0,2,0,0
20241108,18,133,9000000000011033,134,9000000001076293,1000000.0,2,0,0
20240802,15,133,9000000000008359,159,9000000000784335,1000000.0,4,0,0
20240702,9,157,9000000000037917,160,9000000003303064,4000000.0,2,0,0
20241002,18,152,9000000000029318,145,9000000002404517,3000000.0,2,0,0
20241219,15,133,9000000000008359,157,9000000000784343,3000000.0,4,0,0
20240408,12,134,9000000000018946,160,9000000001406432,2000000.0,4,0,0
