거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240809,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240409,15,134,9000000000018801,160,9000000000191607,3000000.0,4,0,0
20240626,21,134,9000000000012733,133,9000000001191295,100000.0,4,0,0
20240905,9,151,9000000000023789,121,9000000002316599,40000.0,4,0,0
20240521,15,151,9000000000027881,111,9000000002367810,20000000.0,4,0,0
20240302,0,134,9000000000018389,154,9000000001386780,2000000.0,4,0,0
20240416,9,134,9000000000014282,151,9000000001243298,200000.0,4,0,0
20240424,9,151,9000000000028618,156,9000000002377203,3000000.0,4,0,0
20241114,15,133,9000000000008359,144,9000000000784316,6000000.0,4,0,0
20240524,18,134,9000000000019890,159,9000000001438928,400000.0,4,0,0
20240920,18,121,9000000000000742,157,9000000000059750,200000.0,4,0,0
20240924,12,133,9000000000008359,159,9000000000784335,80000000.0,4,0,0
20240202,15,151,9000000000026881,146,9000000000360458,5000000.0,4,0,0
20240816,12,151,9000000000027278,155,9000000002359748,2000000.0,4,0,0
20241021,15,151,9000000000027976,133,9000000002369017,8000000.0,4,0,0
20241015,15,133,9000000000011394,131,9000000001112549,1000000.0,4,0,0
20241231,12,151,9000000000022437,130,9000000002297375,3000000.0,4,0,0
20241219,15,152,9000000000029339,156,9000000002406472,3000000.0,2,0,0
20240919,0,133,9000000000007531,145,9000000000694534,5000000.0,4,0,0
20240826,9,151,9000000000025176,146,9000000002334033,5000000.0,4,0,0
20240801,12,134,9000000000016485,130,9000000000141219,300000.0,4,0,0
20240221,6,134,9000000000018809,159,9000000001401872,2000000.0,4,0,0
20240715,9,157,9000000000037917,160,9000000000387592,9000000.0,2,0,0
20241213,15,133,9000000000008359,144,9000000000784316,2000000.0,4,0,0
20240923,21,157,9000000000037488,155,9000000003251518,6000000.0,2,0,0
20240621,6,134,9000000000018653,133,9000000001378010,3000000.0,4,0,0
20241018,6,151,9000000000023789,121,9000000002316599,500000.0,4,0,0
20240711,9,157,9000000000037917,160,9000000003303064,9000000.0,2,0,0
20241114,18,133,9000000000008359,144,9000000000784316,300000.0,4,0,0
20240327,15,157,9000000000036931,133,9000000002824517,6000000.0,2,0,0
20241015,18,133,9000000000008359,146,9000000000784325,1000000.0,4,0,0
20241025,6,152,9000000000029143,156,9000000002390549,3000000.0,2,0,0
20241114,9,133,9000000000008359,130,9000000000784329,500000.0,4,0,0
20240527,9,151,9000000000024624,159,9000000002327648,1000000.0,4,0,0
20240917,6,157,9000000000036415,135,9000000003140530,1000000.0,2,0,0
20240709,9,157,9000000000037917,160,9000000000387592,9000000.0,2,0,0
20240227,9,134,9000000000012299,149,9000000001174062,400000.0,4,0,0
20240814,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240924,12,133,9000000000008359,159,9000000000784335,80000000.0,4,0,0
20240909,15,157,9000000000037582,133,9000000003142061,2000000.0,2,0,0
20240521,18,129,9000000000001322,156,9000000000078494,5000.0,6,0,0
20240911,12,156,9000000000034886,130,9000000002989978,2000000.0,2,0,0
20240222,15,151,9000000000028618,156,9000000002377203,4000000.0,4,0,0
20240923,12,133,9000000000008359,160,9000000000784324,3000000.0,4,0,0
20241013,21,152,9000000000029560,133,9000000002423221,3000000.0,2,0,0
20240318,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240723,12,134,9000000000017064,155,9000000001334014,100000.0,4,0,0
20240611,9,151,9000000000028618,156,9000000002377203,800000.0,4,0,0
20241117,18,133,9000000000011033,134,9000000001076293,9000000.0,2,0,0
20240118,18,134,9000000000018778,147,9000000001400597,5000000.0,4,0,0
20240925,12,133,9000000000008359,131,9000000000784332,10000000.0,4,0,0
20241210,9,133,9000000000008359,144,9000000000784316,10000000.0,4,0,0
20241129,9,151,9000000000025277,134,9000000002335254,1000000.0,4,0,0
20240814,21,157,9000000000036861,133,9000000003186425,5000000.0,2,0,0
20241206,12,133,9000000000011033,134,9000000001076293,9000000.0,2,0,0
20240722,15,133,9000000000008359,132,9000000000153770,5000000.0,4,0,0
20240206,9,134,9000000000012463,123,9000000001180698,5000000.0,4,0,0
20240620,18,133,9000000000008359,131,9000000000784332,20000.0,4,0,0
20241130,12,133,9000000000011033,134,9000000001076293,7000000.0,2,0,0
20240620,12,133,9000000000008359,146,9000000000784325,1000000.0,4,0,0
20241230,15,151,9000000000028618,156,9000000002377203,4000000.0,4,0,0
20241119,12,133,9000000000011033,134,9000000001076293,9000000.0,2,0,0
20240429,6,134,9000000000018993,133,9000000001340095,3000000.0,2,0,0
20240112,18,134,9000000000018778,147,9000000001400597,5000000.0,4,0,0
20240125,0,134,9000000000016668,157,9000000001321168,1000000.0,4,0,0
20240501,0,134,9000000000013203,157,9000000001207105,3000000.0,4,0,0
20241015,18,133,9000000000008359,146,9000000000784325,1000000.0,4,0,0
20240807,9,157,9000000000036861,133,9000000003186425,5000000.0,2,0,0
20240727,15,133,9000000000008359,159,9000000000784335,3000000.0,4,0,0
20240730,6,157,9000000000037917,160,9000000003303064,7000000.0,2,0,0
20241206,12,143,9000000000020857,134,9000000001503214,600000.0,1,0,0
20241013,18,134,9000000000019485,133,9000000001424813,500000.0,4,0,0
20240919,0,133,9000000000007531,145,9000000000694534,4000000.0,4,0,0
20240703,12,157,9000000000037917,160,9000000003303064,2000000.0,2,0,0
20240705,12,134,9000000000020305,133,9000000001452151,9000000.0,4,0,0
20240703,12,133,9000000000008359,144,9000000000784316,9000000.0,4,0,0
20241028,12,133,9000000000008359,151,9000000000784339,300000.0,4,0,0
20240520,9,133,9000000000008359,132,9000000000153770,10000000.0,4,0,1
20240719,12,151,9000000000024022,155,9000000002319701,5000000.0,4,0,0
20240618,6,151,9000000000023789,121,9000000002316599,100000.0,4,0,0
20240613,12,157,9000000000037917,160,9000000003303064,9000000.0,2,0,0
20240223,6,151,9000000000023789,121,9000000002316599,20000.0,4,0,0
20240304,18,134,9000000000018993,159,9000000001408169,5000000.0,2,0,0
20240626,21,134,9000000000012733,133,9000000001191295,100000.0,4,0,0
20240528,21,134,9000000000012971,146,9000000001198973,200000.0,4,0,0
20240110,9,157,9000000000037459,134,9000000003248829,5000000.0,2,0,1
20241227,12,133,9000000000008359,159,9000000000784335,100000000.0,4,0,0
20240920,21,157,9000000000037488,155,9000000003251518,7000000.0,2,0,0
20241118,18,152,9000000000029287,159,9000000002402084,3000000.0,2,0,0
20240424,9,151,9000000000028618,156,9000000002377203,3000000.0,4,0,0
20240529,6,157,9000000000036759,133,9000000003176310,2000000.0,2,0,0
20240502,15,134,9000000000013203,157,9000000001207105,2000000.0,4,0,0
20240826,9,133,9000000000008359,144,9000000000784316,3000000.0,4,0,0
20240404,18,134,9000000000014162,155,9000000001229179,40000000.0,4,0,0
20240930,15,157,9000000000036431,133,9000000003142061,2000000.0,2,0,0
20241112,6,152,9000000000029143,156,9000000002390549,3000000.0,2,0,0
20240103,15,134,9000000000018623,155,9000000001394400,1000000.0,2,0,0
20240611,9,157,9000000000036395,145,9000000003138693,8000000.0,2,0,0
20241025,15,134,9000000000019485,133,9000000001424813,300000.0,4,0,0
20240723,9,134,9000000000016054,155,9000000001300606,50000.0,7,4,0
20241013,18,121,9000000000000742,157,9000000000059750,500000.0,4,0,0
20240506,15,157,9000000000036722,160,9000000002343565,3000000.0,2,0,0
20240620,12,133,9000000000008359,146,9000000000784325,1000000.0,4,0,0
