거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240725,12,133,9000000000008359,132,9000000000153770,10000000.0,4,0,0
20240819,18,133,9000000000008359,146,9000000000784325,2000000.0000000002,4,0,0
20240702,18,157,9000000000037917,133,9000000003303068,5000000.0,2,0,0
20240907,6,134,9000000000019485,133,9000000001424813,1000000.0000000001,4,0,0
20240913,15,151,9000000000025176,156,9000000000317565,3000000.0,4,0,0
20240711,21,157,9000000000037917,160,9000000000387592,9000000.0,2,0,0
20240201,6,151,9000000000025797,134,9000000002341839,10000000.0,4,0,0
20240201,18,129,9000000000001322,156,9000000000078494,200000.0,6,0,0
20240909,12,133,9000000000008359,159,9000000000784346,3000000.0,4,0,0
20241213,21,133,9000000000011033,134,9000000001076293,6000000.0,2,0,0
20241125,18,134,9000000000019485,133,9000000001424813,2000000.0000000002,4,0,0
20240329,6,134,9000000000013203,156,9000000001207106,3000000.0,4,0,0
20240524,15,157,9000000000036759,133,9000000003176310,4000000.0000000005,2,0,0
20240128,12,151,9000000000023789,121,9000000002316599,1.0,4,0,0
20240322,0,134,9000000000013203,156,9000000001207106,2000000.0000000002,4,0,0
20240215,9,143,9000000000020857,134,9000000001503214,1000000.0000000001,1,0,0
20240624,15,133,9000000000008359,146,9000000000784325,7000000.0,4,0,0
20240502,15,151,9000000000026863,148,9000000002355294,3000000.0,2,0,0
20240330,18,134,9000000000013203,156,9000000001207106,2000000.0000000002,4,0,0
20241002,6,151,9000000000023789,121,9000000002316599,10000.0,4,0,0
20240327,18,152,9000000000029085,146,9000000002383950,2000000.0000000002,2,0,0
20240429,15,134,9000000000013203,157,9000000001207105,2000000.0000000002,4,0,0
20240529,18,157,9000000000037917,160,9000000000387592,5000000.0,2,0,0
20240502,15,134,9000000000013203,157,9000000001207105,2000000.0000000002,4,0,0
20240214,15,143,9000000000020857,134,9000000001503214,10000000.0,1,0,0
20240302,0,151,9000000000027488,144,9000000002362689,5000000.0,4,0,0
20240603,3,151,9000000000026705,159,9000000002353416,1000000.0000000001,4,0,0
20240729,18,157,9000000000037917,160,9000000000387592,3000000.0,2,0,0
20240110,12,134,9000000000018623,155,9000000001394400,2000000.0000000002,2,0,0
20241203,15,143,9000000000020857,134,9000000001503214,1000000.0000000001,1,0,0
20240617,12,151,9000000000026881,146,9000000000522396,4000000.0000000005,4,0,0
20241219,15,143,9000000000020857,134,9000000001503214,1000000.0000000001,1,0,0
20241210,6,151,9000000000025277,134,9000000002335254,400000.0,4,0,0
20240627,15,157,9000000000036722,135,9000000003172846,30000000.0,2,0,0
20240525,18,134,9000000000012733,133,9000000001191295,600000.0,4,0,0
20241128,9,121,9000000000000742,157,9000000000059750,90000.0,4,0,0
20240402,18,134,9000000000013203,156,9000000001207106,3000000.0,4,0,0
20240206,15,143,9000000000020857,134,9000000001503214,1000.0,1,0,0
20240424,15,151,9000000000028618,156,9000000002377203,1000000.0000000001,4,0,0
20240514,12,133,9000000000008359,156,9000000000784344,1000000.0000000001,4,0,0
20240508,15,133,9000000000009100,159,9000000000868377,1000000.0000000001,4,0,0
20240327,18,134,9000000000013203,156,9000000001207106,2000000.0000000002,4,0,0
20240429,9,151,9000000000028325,156,9000000002373669,6000000.0,4,0,0
20241119,12,133,9000000000011033,134,9000000001076293,9000000.0,2,0,0
20240908,12,157,9000000000037488,145,9000000003251521,2000000.0000000002,2,0,0
20241230,15,151,9000000000028618,156,9000000002377203,4000000.0000000005,4,0,0
20240428,12,134,9000000000018993,159,9000000001408230,2000000.0000000002,2,0,0
20240103,18,134,9000000000018623,155,9000000001394400,2000000.0000000002,2,0,0
20240119,18,134,9000000000018778,147,9000000001400597,4000000.0000000005,4,0,0
20240124,0,134,9000000000016668,157,9000000001321168,2000000.0000000002,4,0,0
20240910,9,143,9000000000020857,134,9000000001503214,8000.0,1,0,0
20241021,15,151,9000000000027976,133,9000000002369017,8000000.000000001,4,0,0
20240904,6,157,9000000000037488,155,9000000003251518,6000000.0,2,0,0
20240604,12,157,9000000000037917,133,9000000003303068,2000000.0000000002,2,0,0
20240207,15,143,9000000000020857,134,9000000001503214,600000.0,1,0,0
20240618,21,156,9000000000032905,159,9000000001232066,1000000.0000000001,2,0,0
20240408,6,157,9000000000036931,133,9000000002824517,2000000.0000000002,2,0,0
20240502,12,134,9000000000013203,157,9000000001207105,7000000.0,4,0,0
20241016,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240702,0,151,9000000000027521,157,9000000002363016,2000000.0000000002,4,0,0
20240227,18,151,9000000000027464,144,9000000002362469,1000000.0000000001,4,0,0
20240312,0,152,9000000000029411,159,9000000000144858,800000.0,2,0,0
20240605,9,157,9000000000036395,159,9000000003138690,2000000.0000000002,2,0,0
20240426,15,143,9000000000020857,134,9000000001503214,100000.0,1,0,0
20240620,15,157,9000000000037917,160,9000000003303064,5000000.0,2,0,0
20240626,12,157,9000000000037917,160,9000000003303064,5000000.0,2,0,0
20240214,12,151,9000000000025771,159,9000000002296133,1000000.0000000001,4,0,0
20240621,18,157,9000000000037917,160,9000000000387592,5000000.0,2,0,0
20241111,12,133,9000000000011033,134,9000000001076293,7000000.0,2,0,0
20240926,15,133,9000000000008359,130,9000000000784329,200000.0,4,0,0
20240908,9,152,9000000000029297,146,9000000000058156,2000000.0000000002,2,0,0
20240620,0,129,9000000000001322,156,9000000000078494,300000.0,6,0,0
20240924,12,133,9000000000008359,159,9000000000784318,5000000.0,4,0,0
20240719,0,157,9000000000037917,160,9000000000387592,9000000.0,2,0,0
20240604,12,157,9000000000037917,133,9000000003303068,9000000.0,2,0,0
20240107,12,151,9000000000028618,156,9000000002377203,2000000.0000000002,4,0,0
20240709,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240722,15,151,9000000000025771,159,9000000002296133,2000000.0000000002,4,0,0
20240712,3,157,9000000000037917,133,9000000003303095,9000000.0,2,0,0
20240201,9,151,9000000000024624,159,9000000002327648,1000000.0000000001,4,0,0
20240925,12,133,9000000000008359,131,9000000000784332,10000000.0,4,0,0
20240618,15,157,9000000000036556,134,9000000003153974,1000000.0000000001,2,0,0
20240123,12,151,9000000000025818,131,9000000002313680,1000000.0000000001,4,0,0
20240321,9,151,9000000000027150,131,9000000002358482,2000000.0000000002,4,0,0
20240709,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240417,9,157,9000000000037352,159,9000000003241993,2000000.0000000002,6,1,0
20240328,6,134,9000000000013203,156,9000000001207106,2000000.0000000002,4,0,0
20240530,9,157,9000000000037917,155,9000000003303184,2000000.0000000002,2,0,0
20240930,15,157,9000000000036431,133,9000000003142061,2000000.0000000002,2,0,0
20240418,3,134,9000000000015680,156,9000000001287198,1000000.0000000001,4,0,0
20240520,6,133,9000000000008359,144,9000000000784316,2000000.0000000002,4,0,0
20240507,18,134,9000000000017245,157,9000000001340087,2000000.0000000002,2,0,0
20240222,6,151,9000000000028618,156,9000000002377203,2000000.0000000002,4,0,0
20240802,15,143,9000000000020857,134,9000000001503214,30000000.0,1,0,0
20241015,15,133,9000000000011394,131,9000000001112549,1000000.0000000001,4,0,0
20240926,15,133,9000000000008359,130,9000000000784329,200000.0,4,0,0
20240214,6,151,9000000000025935,160,9000000002343565,4000000.0000000005,2,0,0
20240620,15,157,9000000000037917,160,9000000003303064,5000000.0,2,0,0
20240110,15,134,9000000000018623,155,9000000001394400,1000000.0000000001,2,0,0
20240530,9,157,9000000000036759,133,9000000003176310,8000000.000000001,2,0,0
20240613,18,152,9000000000029140,131,9000000002318685,3000000.0,2,0,0
20240723,12,134,9000000000017064,155,9000000001334014,100000.0,4,0,0
20241113,12,133,9000000000008359,156,9000000000784344,2000000.0000000002,4,0,0
20240912,0,157,9000000000038046,146,9000000003291100,7000000.0,2,0,0
20240516,18,157,9000000000037379,146,9000000000449474,2000000.0000000002,3,0,0
20240929,9,152,9000000000029484,159,9000000000054095,3000000.0,2,0,0
20240111,21,134,9000000000015997,154,9000000001298997,2000000.0000000002,4,0,0
20240415,21,134,9000000000018993,159,9000000001408230,2000000.0000000002,2,0,0
20240627,21,157,9000000000037917,133,9000000003303068,9000000.0,2,0,0
20240907,6,134,9000000000019485,133,9000000001424813,1000000.0000000001,4,0,0
20240819,9,157,9000000000036861,133,9000000003186425,5000000.0,2,0,0
20240509,9,134,9000000000016512,120,9000000001315490,10000000.0,4,0,0
20240610,18,157,9000000000037917,160,9000000003303064,9000000.0,2,0,0
20240312,15,151,9000000000028618,156,9000000002377203,6000000.0,4,0,0
20240930,15,157,9000000000036431,133,9000000003142061,2000000.0000000002,2,0,0
20240508,18,134,9000000000017245,157,9000000001340087,4000000.0000000005,2,0,0
20240929,6,157,9000000000036415,135,9000000003140530,1000000.0000000001,2,0,0
20240401,12,151,9000000000027464,144,9000000002362469,1000000.0000000001,4,0,0
20240119,21,151,9000000000023789,121,9000000002316599,1.0,4,0,0
20240715,21,157,9000000000037917,133,9000000003303068,9000000.0,2,0,0
20240328,18,157,9000000000036931,133,9000000002824517,8000000.000000001,2,0,0
20241008,9,143,9000000000020857,134,9000000001503214,20000000.0,1,0,0
20240108,15,143,9000000000020857,134,9000000001503214,1.0,1,0,0
20240524,6,157,9000000000036759,133,9000000003176310,4000000.0000000005,2,0,0
20240923,18,133,9000000000008359,131,9000000000784314,2000000.0000000002,4,0,0
20240123,0,134,9000000000016668,157,9000000001321168,2000000.0000000002,4,0,0
20240924,0,157,9000000000036415,135,9000000003140530,1000000.0000000001,2,0,0
20240103,18,134,9000000000018623,155,9000000001394400,2000000.0000000002,2,0,0
20240402,12,134,9000000000012487,131,9000000001181621,600000.0,4,0,0
20241220,9,151,9000000000028618,156,9000000002377203,3000000.0,4,0,0
