거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
204,6,8,144,5,217,120677.828125,3,0,0
131,4,8,144,5,217,43073.828125,3,0,0
220,2,5,126,13,197,1069395.375,0,0,0
58,0,4,43,25,96,1959630.125,3,0,0
14,0,4,84,26,141,2089796.125,3,0,0
129,6,8,193,10,72,1075049.375,3,0,0
240,6,9,210,28,284,3117137.5,1,0,0
158,2,11,259,29,32,9888208.0,1,0,0
123,1,11,240,14,314,9860540.0,1,0,0
231,7,3,18,13,65,1924209.125,1,0,0
208,2,8,197,12,269,7813606.0,3,0,0
110,7,11,234,16,307,2974454.75,1,0,0
64,1,11,243,12,301,7969906.0,1,0,0
155,2,11,258,29,32,8950901.0,1,0,0
38,2,4,69,21,0,29834766.0,3,0,0
109,0,8,205,28,279,3044099.75,3,0,0
128,4,1,5,26,12,192108.828125,3,0,0
104,3,3,13,11,22,2968205.75,3,0,0
82,0,4,42,26,96,2049446.375,3,0,0
61,2,4,77,24,136,648813.8125,3,0,0
47,2,5,126,24,164,22518.826171875,0,0,0
254,1,8,142,25,216,4027452.0,3,0,0
171,2,11,253,16,328,1975945.875,1,0,0
158,1,3,13,29,49,3011276.25,3,0,0
213,3,8,155,25,231,2087357.625,3,0,0
125,7,11,258,29,333,4985156.5,1,0,0
60,5,11,244,12,301,8068553.5,1,0,0
103,7,11,259,12,333,9022342.0,1,0,0
102,7,11,240,12,315,4026122.25,1,0,0
206,2,3,14,10,46,426676.8125,3,0,0
58,2,11,244,12,301,7987582.5,1,0,0
229,7,3,13,9,52,2044099.625,3,0,0
180,2,8,175,29,250,1958332.875,3,0,0
6,7,4,104,18,165,4943431.5,3,0,0
150,1,8,160,13,236,1991096.625,3,0,0
136,1,11,259,13,339,3949950.0,1,0,0
239,1,4,118,12,187,546987.8125,3,0,0
89,2,2,10,25,18,347178.3125,5,0,0
63,2,2,10,25,18,78369.828125,5,0,0
204,7,8,132,28,204,709337.8125,3,0,0
71,6,4,42,26,95,3091742.75,3,0,0
129,7,5,126,13,196,1960850.875,0,0,0
98,6,8,144,5,217,160490.328125,3,0,0
88,6,4,26,28,78,19952280.0,3,0,0
137,2,3,14,15,47,2915220.0,3,0,0
39,0,8,189,15,264,2037987.375,3,0,0
152,2,5,127,13,197,101960.328125,0,0,0
243,4,3,18,13,65,3975597.25,1,0,0
247,7,8,201,25,275,3071745.5,3,0,0
80,3,4,40,10,95,1924043.625,3,0,0
40,7,4,27,20,81,418229.8125,3,0,0
95,3,1,2,15,7,134223.328125,3,0,0
66,3,4,110,28,177,6998353.0,1,0,0
232,1,1,5,26,11,150613.328125,3,0,0
75,4,4,119,9,189,9997160.0,3,0,0
186,2,11,235,14,309,1024325.8125,1,0,0
30,7,8,201,26,276,165989.328125,3,0,0
183,3,3,14,17,50,1121598.875,3,0,0
220,6,9,209,25,283,3098179.0,1,0,0
197,4,1,6,26,12,86868.328125,3,0,0
119,7,3,18,29,68,5084865.5,1,0,0
218,2,5,126,24,164,21003.326171875,0,0,0
154,4,11,243,12,318,4970234.0,1,0,0
125,4,4,26,10,80,9928246.0,3,0,0
194,6,8,144,5,217,114683.828125,3,0,0
197,4,1,6,26,11,65272.828125,3,0,0
133,7,11,258,29,32,6871287.0,1,0,0
208,7,3,13,15,46,977168.3125,3,0,0
127,2,5,126,13,197,-20083.673828125,0,0,0
182,2,4,75,24,133,-1256.67333984375,3,0,0
91,2,8,141,10,195,1970747.875,3,0,0
163,7,3,13,15,46,827615.8125,3,0,0
207,7,8,202,26,276,703759.3125,3,0,0
102,6,11,240,12,315,4039214.0,1,0,0
96,7,4,108,15,169,4988732.0,3,0,0
83,4,8,190,26,265,2015796.125,3,0,0
137,2,3,14,15,46,2933241.75,3,0,0
22,3,2,10,25,17,44899.828125,5,0,0
6,1,4,102,24,162,1992074.125,1,0,0
176,1,3,13,25,57,8000249.0,3,0,0
182,6,4,118,12,187,274201.8125,3,0,0
238,7,9,210,28,284,3045446.0,1,0,0
58,0,4,42,25,96,2051327.875,3,0,0
110,0,11,234,16,308,8984036.0,1,0,0
198,4,8,190,26,265,1956506.875,3,0,0
101,4,8,205,28,278,1945128.625,3,0,0
201,2,3,13,9,52,7932902.5,3,0,0
29,7,8,202,26,276,159794.328125,3,0,0
176,7,9,220,13,293,2992931.75,1,0,0
135,4,11,259,12,334,8939288.0,1,0,0
230,7,8,160,13,236,548491.3125,3,0,0
101,2,10,226,15,300,2096546.375,1,0,0
23,6,8,166,13,242,10042987.0,3,0,0
148,7,11,232,28,304,89798392.0,1,0,0
130,4,11,259,12,336,8947927.0,1,0,0
101,2,4,34,12,88,820995.3125,3,0,0
253,6,9,224,17,293,3000541.75,1,0,0
133,0,2,10,25,18,340351.8125,5,0,0
206,6,8,166,13,243,4037191.75,3,0,0
111,2,3,14,13,59,3991643.25,3,0,0
139,0,11,259,29,31,9031516.0,1,0,0
65,1,4,109,29,170,1948098.875,3,0,0
122,3,3,14,17,50,3910460.25,3,0,0
85,3,8,160,13,236,984569.3125,3,0,0
132,4,3,13,10,45,861860.8125,3,0,0
161,3,3,13,17,50,409886.3125,3,0,0
177,1,11,256,29,211,7918140.5,1,0,0
57,0,4,42,25,97,5010851.5,3,0,0
104,0,11,233,28,307,5088949.5,1,0,0
133,0,2,11,25,18,619461.8125,5,0,0
102,7,11,241,12,315,8048095.0,1,0,0
220,6,9,209,25,283,3015144.75,1,0,0
136,0,11,259,29,31,4987977.0,1,0,0
80,2,4,64,12,120,2938852.25,3,0,0
185,4,11,253,24,326,6090595.5,1,0,0
63,1,8,190,26,265,2045135.875,3,0,0
164,2,5,126,13,197,901767.8125,0,0,0
76,3,4,47,28,101,2031563.375,3,0,0
207,7,8,201,26,276,560562.3125,3,0,0
131,2,3,13,25,57,1950832.875,3,0,0
229,3,4,118,12,188,2050003.375,3,0,0
202,3,4,118,12,188,529236.3125,3,0,0
167,7,3,13,11,22,319736.3125,3,0,0
175,7,9,211,17,7,1921947.625,1,0,0
