거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240112,18,134,9000000000013203,147,9000000000078494,4307776.356393137,4,0,0
20240909,0,151,9000000000022713,159,9000000002315793,2129966.517269078,4,0,0
20240206,15,151,9000000000022812,159,9000000002302583,3217109.2490560706,4,0,0
20241010,15,151,9000000000024468,131,9000000002323329,758488.9556110735,4,0,0
20240329,9,121,9000000000000785,159,9000000000060487,2158670.2929221415,2,0,1
20240617,0,133,9000000000008359,131,9000000000784331,1937382.7857271326,4,0,0
20241018,15,133,9000000000008359,131,9000000000784314,14421.807550171332,4,0,0
20240908,9,157,9000000000037289,159,9000000003281753,1537999.7909471432,2,0,0
20241111,15,151,9000000000026343,131,9000000002349322,-58169.753736710525,4,0,1
20240424,9,151,9000000000028618,157,9000000002377203,4561422.715410402,4,0,0
20240213,9,151,9000000000028629,157,9000000002377367,90817.56214284181,4,0,0
20240416,21,151,9000000000026343,144,9000000001405868,4746014.954355218,4,0,0
20240215,15,134,9000000000018547,133,9000000001382851,637493.981677002,4,0,0
20240712,0,157,9000000000037917,131,9000000003303088,1082939.9524200147,2,0,0
20241204,12,134,9000000000013298,133,9000000000488218,1437715.0999455666,4,0,0
20240909,0,151,9000000000023714,159,9000000000317565,2551170.450142327,4,0,0
20241111,15,151,9000000000024676,159,9000000002328216,2108031.5621220516,4,0,1
20240404,9,134,9000000000015680,135,9000000001294612,490258.3431278763,4,0,0
20240826,9,151,9000000000011414,155,9000000001115383,4478925.344529157,2,0,0
20241213,12,133,9000000000011033,134,9000000001076293,5193453.8965095235,2,0,0
20240322,9,152,9000000000029411,130,9000000000144858,1182545.008633864,2,0,0
20240529,6,157,9000000000036931,160,9000000002824517,10299810.516426511,2,0,0
20240605,0,157,9000000000037917,133,9000000003303183,2577478.6954990905,4,0,0
20240404,9,134,9000000000016488,159,9000000001314654,2634294.7498565386,4,0,0
20241217,9,152,9000000000029287,159,9000000002402084,1450711.8048035058,2,0,0
20240909,0,151,9000000000025176,159,9000000000317565,1317819.3318218703,4,0,0
20240312,9,152,9000000000018993,159,9000000002427630,2621948.049990885,2,0,0
20240329,6,157,9000000000036931,133,9000000002824517,8295672.306651013,2,0,0
20241013,15,152,9000000000029560,133,9000000002423221,2706084.5098615596,2,0,0
20240116,9,157,9000000000037917,155,9000000003303184,9781971.215153437,2,0,0
20240611,9,157,9000000000035756,145,9000000003072700,6259204.7534455145,2,0,0
20240529,0,151,9000000000022812,159,9000000002302583,2525101.023213749,4,0,0
20240327,15,157,9000000000036431,160,9000000003328835,5407338.446892505,2,0,0
20240412,3,134,9000000000013203,133,9000000001424813,196107.15424032876,4,0,0
20240902,12,134,9000000000013203,159,9000000001424813,918331.6730043502,4,0,0
20240806,15,133,9000000000008359,130,9000000000784331,3424786.70020607,4,0,0
20241210,15,134,9000000000015094,159,9000000001269360,400113.95703030424,4,0,0
20240802,12,133,9000000000008359,159,9000000003303183,2770943.5024796105,4,0,0
20240501,9,151,9000000000013203,157,9000000001207105,1057362.591606578,4,0,0
20240807,21,157,9000000000037917,160,9000000000387592,5747517.978868139,2,0,0
20240829,6,134,9000000000019485,133,9000000001424813,652279.3453286984,4,0,0
20240909,12,133,9000000000008359,159,9000000000784335,2159403.857568152,4,0,0
20240529,15,134,9000000000018653,133,9000000001378010,2248041.012857807,4,0,0
20240529,15,151,9000000000022812,159,9000000002302583,1822412.8844727455,4,0,0
20240329,9,152,9000000000037352,159,9000000000054095,2166443.966685921,2,0,0
20241021,15,151,9000000000024676,133,9000000002349322,1723173.440730978,4,0,1
20240521,15,143,9000000000020857,134,9000000001503214,1158081.1466833726,1,0,0
20240529,15,134,9000000000015680,133,9000000001378010,776592.7322040658,4,0,0
20240528,15,151,9000000000026343,131,9000000002323329,284951.5768330988,4,0,0
20240404,9,134,9000000000016488,131,9000000001314654,2761911.3105009804,4,0,0
20240329,9,121,9000000000000785,159,9000000000060487,1691969.7563894559,2,0,0
20240206,15,151,9000000000024491,144,9000000002322879,5193706.947538023,4,0,0
20240712,0,157,9000000000037917,160,9000000000387592,1643076.1255361289,2,0,0
20240913,12,133,9000000000008359,160,9000000000784325,5835640.526071189,4,0,0
20240206,9,151,9000000000027521,156,9000000002363016,1954572.2167395488,4,0,0
20241111,15,151,9000000000027881,111,9000000000141309,2126701.009494462,4,0,0
20240617,9,157,9000000000037917,160,9000000003303184,4479531.89542657,2,0,0
20240329,21,157,9000000000036931,133,9000000002824517,7863066.719666708,2,0,0
20241007,9,157,9000000000037817,159,9000000003293141,2123151.0685508586,2,0,0
20240416,15,151,9000000000026343,144,9000000002349322,2439525.348027147,4,0,1
20240805,15,143,9000000000020857,134,9000000001503214,650372.2531560062,1,0,0
20240215,15,134,9000000000018547,133,9000000001382851,236874.65570289787,4,0,0
20240805,12,133,9000000000008359,159,9000000000784335,3939791.0578359175,4,0,0
20240521,9,152,9000000000037289,159,9000000003229594,2091757.7351546085,2,0,0
20240719,0,157,9000000000037917,131,9000000003303088,2932347.345461632,2,0,0
20240612,15,133,9000000000008359,130,9000000000784350,2363977.9910990647,4,0,0
20240329,0,157,9000000000036931,159,9000000002824517,3018199.891461971,4,0,0
20240829,6,134,9000000000019485,159,9000000001424813,477921.3223017477,4,0,0
20240829,6,134,9000000000019485,133,9000000001424799,412653.67192023556,4,0,0
20240215,15,134,9000000000015680,156,9000000000024710,593263.4505930869,4,0,1
20240424,12,151,9000000000013203,157,9000000001207105,5095000.019650615,4,0,0
20240110,15,134,9000000000018623,132,9000000001410251,1522385.8171399059,4,0,0
20240903,15,143,9000000000020857,134,9000000001503214,1223562.723328242,1,0,0
20240729,15,134,9000000000015099,156,9000000001269422,1257051.7267193624,4,0,0
20240628,18,133,9000000000008359,131,9000000000784314,710774.4233132829,4,0,0
20240802,0,157,9000000000037917,159,9000000003303183,7596284.011764128,2,0,0
20240124,9,151,9000000000025935,160,9000000002343565,22287.2322516336,4,0,0
20240529,21,157,9000000000037917,133,9000000003176310,5054404.14013399,2,0,0
20240620,9,157,9000000000037917,160,9000000000387592,5189702.888696475,2,0,0
20240521,9,151,9000000000027881,111,9000000000141309,2714816.2684174115,4,0,0
20241203,6,151,9000000000023789,121,9000000002316599,310408.48673189594,4,0,0
20241203,15,134,9000000000019485,133,9000000001382851,-261952.07332520199,4,0,0
20240620,18,133,9000000000037917,146,9000000000784325,571903.8615167089,4,0,0
20240525,9,151,9000000000037432,159,9000000000442992,1285735.827684745,2,0,0
20240516,9,157,9000000000037379,146,9000000000449474,2519814.0857814723,2,0,0
20240412,18,134,9000000000017245,131,9000000001408276,3300046.38590973,2,0,0
20240611,9,157,9000000000036395,145,9000000003138693,8534338.395491356,2,0,0
20240524,15,134,9000000000024676,156,9000000001303663,2720129.29755417,4,0,0
20240529,15,151,9000000000014754,133,9000000001259494,-308681.51358037116,4,0,0
20240611,9,157,9000000000036395,159,9000000003293141,9290948.618008003,2,0,0
20240411,9,121,9000000000000785,159,9000000000060487,3084549.916328703,2,0,0
20240521,9,151,9000000000021319,160,9000000000141309,2297410.8814138877,4,0,0
20240311,15,134,9000000000029411,133,9000000000144858,820847.5729783287,2,0,0
20240827,15,133,9000000000008359,144,9000000000784316,2547491.770889316,4,0,0
20240628,21,133,9000000000008359,159,9000000000784335,700213.428609403,4,0,0
20240717,15,143,9000000000020857,134,9000000001503214,-37895.119869228336,1,0,0
20241010,6,157,9000000000036431,133,9000000003142061,3078718.991237516,2,0,0
20240605,6,151,9000000000024624,159,9000000002327648,3057394.9836768233,4,0,0
