거래일자,거래시간대,출금금융회사일련번호,출금계좌일련번호,입금금융회사일련번호,입금계좌일련번호,거래금액,매체구분,자금구분,y
20240112,18,134,9000000000013203,147,9000000000078494,5679888.068178781,4,0,0
20240909,0,151,9000000000022713,159,9000000002315793,1987567.8312024018,4,0,0
20240206,15,151,9000000000022812,159,9000000002302583,2694054.6579844197,4,0,0
20241010,15,151,9000000000024468,131,9000000002323329,145906.73259541736,4,0,0
20240329,9,121,9000000000000785,159,9000000000060487,2797251.8448969917,2,0,1
20240617,0,133,9000000000008359,131,9000000000784331,1973876.1900296737,4,0,0
20241018,15,133,9000000000008359,131,9000000000784314,85308.84897378506,4,0,0
20240908,9,157,9000000000037289,159,9000000003281753,2314340.3671913026,2,0,0
20241111,15,151,9000000000026343,131,9000000002349322,862230.2978262589,4,0,1
20240424,9,151,9000000000028618,157,9000000002377203,4296915.62100464,4,0,0
20240213,9,151,9000000000028629,157,9000000002377367,234921.16676023323,4,0,0
20240416,21,151,9000000000026343,144,9000000001405868,4420628.320406055,4,0,0
20240215,15,134,9000000000018547,133,9000000001382851,737653.7653232042,4,0,0
20240712,0,157,9000000000037917,131,9000000003303088,1928184.5842781744,2,0,0
20241204,12,134,9000000000013298,133,9000000000488218,1390534.5349086642,4,0,0
20240909,0,151,9000000000023714,159,9000000000317565,1242717.8991592475,4,0,0
20241111,15,151,9000000000024676,159,9000000002328216,2015666.406013242,4,0,1
20240404,9,134,9000000000015680,135,9000000001294612,394249.1635608158,4,0,0
20240826,9,151,9000000000011414,155,9000000001115383,5360039.756489636,2,0,0
20241213,12,133,9000000000011033,134,9000000001076293,5564666.1580953235,2,0,0
20240322,9,152,9000000000029411,130,9000000000144858,887241.0031972822,2,0,0
20240529,6,157,9000000000036931,160,9000000002824517,9480106.70724634,2,0,0
20240605,0,157,9000000000037917,133,9000000003303183,2757373.1169684855,4,0,0
20240404,9,134,9000000000016488,159,9000000001314654,2396533.5352293923,4,0,0
20241217,9,152,9000000000029287,159,9000000002402084,2271662.0681600617,2,0,0
20240909,0,151,9000000000025176,159,9000000000317565,2255703.0415922613,4,0,0
20240312,9,152,9000000000018993,159,9000000002427630,2281162.0343484194,2,0,0
20240329,6,157,9000000000036931,133,9000000002824517,7527737.5485011,2,0,0
20241013,15,152,9000000000029560,133,9000000002423221,2087597.742593421,2,0,0
20240116,9,157,9000000000037917,155,9000000003303184,8546300.907797033,2,0,0
20240611,9,157,9000000000035756,145,9000000003072700,5655363.033054851,2,0,0
20240529,0,151,9000000000022812,159,9000000002302583,2077464.3021416073,4,0,0
20240327,15,157,9000000000036431,160,9000000003328835,5508926.198018147,2,0,0
20240412,3,134,9000000000013203,133,9000000001424813,1146615.537300387,4,0,0
20240902,12,134,9000000000013203,159,9000000001424813,59025.10836092965,4,0,0
20240806,15,133,9000000000008359,130,9000000000784331,2416919.346611622,4,0,0
20241210,15,134,9000000000015094,159,9000000001269360,71615.91089886974,4,0,0
20240802,12,133,9000000000008359,159,9000000003303183,3209856.735281568,4,0,0
20240501,9,151,9000000000013203,157,9000000001207105,-66141.8178717111,4,0,0
20240807,21,157,9000000000037917,160,9000000000387592,5518694.853653075,2,0,0
20240829,6,134,9000000000019485,133,9000000001424813,933131.9217697096,4,0,0
20240909,12,133,9000000000008359,159,9000000000784335,1626927.5953372717,4,0,0
20240529,15,134,9000000000018653,133,9000000001378010,1438528.641493163,4,0,0
20240529,15,151,9000000000022812,159,9000000002302583,2324374.1679371265,4,0,0
20240329,9,152,9000000000037352,159,9000000000054095,2646279.8970477753,2,0,0
20241021,15,151,9000000000024676,133,9000000002349322,2495139.9932336,4,0,1
20240521,15,143,9000000000020857,134,9000000001503214,720277.2473683812,1,0,0
20240529,15,134,9000000000015680,133,9000000001378010,294917.72901916225,4,0,0
20240528,15,151,9000000000026343,131,9000000002323329,261108.8509054717,4,0,0
20240404,9,134,9000000000016488,131,9000000001314654,2643396.5687673055,4,0,0
20240329,9,121,9000000000000785,159,9000000000060487,2971283.0854023173,2,0,0
20240206,15,151,9000000000024491,144,9000000002322879,5185223.191366598,4,0,0
20240712,0,157,9000000000037917,160,9000000000387592,1654342.292738384,2,0,0
20240913,12,133,9000000000008359,160,9000000000784325,5611184.746336455,4,0,0
20240206,9,151,9000000000027521,156,9000000002363016,2363301.238523913,4,0,0
20241111,15,151,9000000000027881,111,9000000000141309,1771758.316785579,4,0,0
20240617,9,157,9000000000037917,160,9000000003303184,5009142.740399817,2,0,0
20240329,21,157,9000000000036931,133,9000000002824517,8137741.467519078,2,0,0
20241007,9,157,9000000000037817,159,9000000003293141,1844792.8916752255,2,0,0
20240416,15,151,9000000000026343,144,9000000002349322,1828142.7796108564,4,0,1
20240805,15,143,9000000000020857,134,9000000001503214,1176094.3379275175,1,0,0
20240215,15,134,9000000000018547,133,9000000001382851,207002.478503444,4,0,0
20240805,12,133,9000000000008359,159,9000000000784335,4459402.663183817,4,0,0
20240521,9,152,9000000000037289,159,9000000003229594,2174657.564733365,2,0,0
20240719,0,157,9000000000037917,131,9000000003303088,1691637.7891630165,2,0,0
20240612,15,133,9000000000008359,130,9000000000784350,2206601.535481972,4,0,0
20240329,0,157,9000000000036931,159,9000000002824517,1755309.0246212413,4,0,0
20240829,6,134,9000000000019485,159,9000000001424813,-208554.1356095957,4,0,0
20240829,6,134,9000000000019485,133,9000000001424799,1262062.8323821235,4,0,0
20240215,15,134,9000000000015680,156,9000000000024710,574349.3895994024,4,0,1
20240424,12,151,9000000000013203,157,9000000001207105,4239259.208373131,4,0,0
20240110,15,134,9000000000018623,132,9000000001410251,125978.81960600993,4,0,0
20240903,15,143,9000000000020857,134,9000000001503214,226863.00644168025,1,0,0
20240729,15,134,9000000000015099,156,9000000001269422,1136985.5013672663,4,0,0
20240628,18,133,9000000000008359,131,9000000000784314,658393.4862925584,4,0,0
20240802,0,157,9000000000037917,159,9000000003303183,8275359.83795572,2,0,0
20240124,9,151,9000000000025935,160,9000000002343565,963795.344762009,4,0,0
20240529,21,157,9000000000037917,133,9000000003176310,4331047.698329837,2,0,0
20240620,9,157,9000000000037917,160,9000000000387592,5262837.209574625,2,0,0
20240521,9,151,9000000000027881,111,9000000000141309,1180839.7204402846,4,0,0
20241203,6,151,9000000000023789,121,9000000002316599,-425019.5633715888,4,0,0
20241203,15,134,9000000000019485,133,9000000001382851,368981.1942829219,4,0,0
20240620,18,133,9000000000037917,146,9000000000784325,1459199.2398867311,4,0,0
20240525,9,151,9000000000037432,159,9000000000442992,2455481.256863613,2,0,0
20240516,9,157,9000000000037379,146,9000000000449474,863193.9807579096,2,0,0
20240412,18,134,9000000000017245,131,9000000001408276,3217164.3079543253,2,0,0
20240611,9,157,9000000000036395,145,9000000003138693,9248557.603229884,2,0,0
20240524,15,134,9000000000024676,156,9000000001303663,2248728.716160344,4,0,0
20240529,15,151,9000000000014754,133,9000000001259494,381981.73856814625,4,0,0
20240611,9,157,9000000000036395,159,9000000003293141,10219938.513393214,2,0,0
20240411,9,121,9000000000000785,159,9000000000060487,2447854.6955763996,2,0,0
20240521,9,151,9000000000021319,160,9000000000141309,2444788.418165452,4,0,0
20240311,15,134,9000000000029411,133,9000000000144858,227546.35489181697,2,0,0
20240827,15,133,9000000000008359,144,9000000000784316,2933186.1624830132,4,0,0
20240628,21,133,9000000000008359,159,9000000000784335,1513723.110605409,4,0,0
20240717,15,143,9000000000020857,134,9000000001503214,582217.3082199653,1,0,0
20241010,6,157,9000000000036431,133,9000000003142061,996941.0757986861,2,0,0
20240605,6,151,9000000000024624,159,9000000002327648,1607355.6511193253,4,0,0
20240510,18,134,9000000000017245,156,9000000001340087,-330781.8308873405,2,0,0
20240705,9,134,9000000000012463,123,9000000001180698,1027990.7595941264,4,0,0
20240802,0,133,9000000000008359,159,9000000003303183,1934548.5735736704,4,0,0
20240613,15,151,9000000000027264,134,9000000002359574,3468872.4324499853,4,0,0
20241111,15,151,9000000000024676,159,9000000002349322,1794516.920860535,4,0,1
20240710,6,151,9000000000000742,157,9000000000059750,762427.8484419545,4,0,0
